bom_style,is_mapped,efab_api_id,efab_description
DC3904/0,False,,
AMER220001/1,False,,
3BB760-SM/0,False,,
CEE4324A/1,False,,
BK 8434/0,False,,
FLF401/8NAT,False,,
CT2456/1,False,,
BK 8053/0,False,,
CMJ3162/8,False,,
C1B4743A/3,False,,
CT2989/2,False,,
BK 4148A/0,False,,
C1B4209A/1,False,,
CT2821/1,False,,
CT1511/8NL,False,,
FF 10008/0008,False,,
C1B3929/1,False,,
F38832/0,False,,
C2B3494/1H,False,,
CT22150/1U,False,,
BK 8187/D3,False,,
CT2912/1,False,,
CT3099/1,False,,
CMJ3162/9,False,,
C0434F/0,False,,
3000070220/1,False,,
CMJ3164/3,False,,
C1B3204/1,False,,
CT22120/1P3,False,,
CF6019/2,False,,
CEE4611A/1,False,,
CT3015/1,False,,
PP 8-21-19/1,False,,
BK 8187/15350,False,,
RIO-260/1,False,,
DC3989/0,False,,
CT2376/1,False,,
CEE2748/1IN,False,,
MK1002/01,False,,
BK 8205/90622,False,,
CT1243/TT3A,False,,
BK 8367/0,False,,
CT0695/TT1S,False,,
BK 8329/0,False,,
2140395/BC,False,,
CT2666/1,False,,
CT2913/2C,False,,
CT22108/1C,False,,
CT2491/1,False,,
CF5123D/0,False,,
ATG-66/B,False,,
C1B3195/1U,False,,
C1B3178/3,False,,
CEE3462A/1,False,,
CF5321/NOV12,False,,
C1B4258A/1,False,,
JL2701/55,False,,
C1B3558/1,False,,
CF1099/0,False,,
BK 8278/U,False,,
BK 8336/0,False,,
C1B4322A/1V,False,,
CT2653/1,False,,
CT22107/1NB,False,,
CT2672/2,False,,
13124/01A,False,,
MK3820K/R26P,False,,
CT2994/2,False,,
C1B3306/1,False,,
C1B3622/2,False,,
CT2330/1,False,,
C1B3306/11,False,,
CT22103/1U,False,,
CF5013/0,False,,
DC4011/0,False,,
C1B3399/1,False,,
BK 8513/0,False,,
CT2601/3,False,,
BK 8195/0,False,,
CF1091/0,False,,
CT3040/4,False,,
CF5133/1,False,,
CSP3427/2,False,,
19001/01D1,False,,
CT2513/3L,False,,
IC IP60/0,False,,
C1B3979/1,False,,
GG6023-HV/0,False,,
BK 8461/0,False,,
3000070207/1,False,,
CT2673/1,False,,
CMR3158/3,False,,
CF5506/0,False,,
CT2795/1,False,,
BK 8425/0,False,,
C878-21/0,False,,
16779/01A,False,,
BK 7385/72900,False,,
C1B4561A/1,False,,
DC3964/0,False,,
DC3901/0,False,,
CF5188/0,False,,
CEE4145A/1,False,,
C1B3297/1,False,,
CF5186/0,False,,
DC3373/F499L,False,,
C1B3912/1P,False,,
