Style #,Customer,Order #,Roll #,Vendor Roll #,Qty (yds),Qty (lbs),Good Ea.,Bad Ea.,Processor,Received
C1B4312-2/0,CTIC - CREATIVE TICKING,D69694,6969414,6969414,28.0,60.7,0,0,Altus - Plant 3,2025-08-30 12:15:06
C1B4312-2/0,CTIC - CREATIVE TICKING,D69682,6968213,6968213,25.5,51.9,0,0,Altus - Plant 3,2025-08-29 15:55:05
C1B4312-2/0,CTIC - CREATIVE TICKING,D69682,6968204,6968204,24.0,51.5,0,0,Altus - Plant 3,2025-08-29 15:55:05
C1B4312-2/0,CTIC - CREATIVE TICKING,D69694,6969411,6969411,23.0,49.3,0,0,Altus - Plant 3,2025-08-30 12:15:06
C1B4312-2/0,CTIC - CREATIVE TICKING,D69694,6969405,6969405,24.0,52.0,0,0,Altus - Plant 3,2025-08-30 12:15:06
C1B4312-2/0,CTIC - CREATIVE TICKING,D69694,6969402,6969402,23.3,52.0,0,0,Altus - Plant 3,2025-08-30 12:15:06
C1B4312-2/0,CTIC - CREATIVE TICKING,D69694,6969404,6969404,24.0,52.0,0,0,Altus - Plant 3,2025-08-30 12:15:06
C1B4312-2/0,CTIC - CREATIVE TICKING,D69694,6969401,6969401,24.0,59.8,0,0,Altus - Plant 3,2025-08-30 12:15:06
C1B4312-2/0,CTIC - CREATIVE TICKING,D69694,6969403,6969403,24.0,53.0,0,0,Altus - Plant 3,2025-08-30 12:15:06
C1B4312-2/0,CTIC - CREATIVE TICKING,D69694,6969406,6969406,24.0,52.3,0,0,Altus - Plant 3,2025-08-30 12:15:06
C1B4312-2/0,CTIC - CREATIVE TICKING,D69694,6969407,6969407,24.0,51.4,0,0,Altus - Plant 3,2025-08-30 12:15:06
C1B4312-2/0,CTIC - CREATIVE TICKING,D69682,6968205,6968205,24.0,51.0,0,0,Altus - Plant 3,2025-08-29 15:55:05
C1B4312-2/0,CTIC - CREATIVE TICKING,D69682,6968201,6968201,23.0,52.0,0,0,Altus - Plant 3,2025-08-29 15:55:05
C1B4312-2/0,CTIC - CREATIVE TICKING,D69682,6968211,6968211,24.0,50.0,0,0,Altus - Plant 3,2025-08-29 15:55:05
C1B4312-2/0,CTIC - CREATIVE TICKING,D69682,6968206,6968206,24.2,51.0,0,0,Altus - Plant 3,2025-08-29 15:55:05
C1B4312-2/0,CTIC - CREATIVE TICKING,D69682,6968202,6968202,23.0,50.0,0,0,Altus - Plant 3,2025-08-29 15:55:05
C1B4312-2/0,CTIC - CREATIVE TICKING,D69682,6968209,6968209,23.0,49.5,0,0,Altus - Plant 3,2025-08-29 15:55:05
C1B4313-3/0,CTIC - CREATIVE TICKING,D69679,6967915,6967915,21.0,44.0,0,0,Altus - Plant 3,2025-08-30 12:15:04
C1B4313-3/0,CTIC - CREATIVE TICKING,D69679,6967902,6967902,24.0,57.0,0,0,Altus - Plant 3,2025-08-30 12:15:04
C1B4313-3/0,CTIC - CREATIVE TICKING,D69679,6967909,6967909,21.0,46.0,0,0,Altus - Plant 3,2025-08-30 12:15:04
C1B4313-3/0,CTIC - CREATIVE TICKING,D69679,6967919,6967919,23.0,49.0,0,0,Altus - Plant 3,2025-08-30 12:15:04
C1B4313-3/0,CTIC - CREATIVE TICKING,D69679,6967916,6967916,21.0,45.0,0,0,Altus - Plant 3,2025-08-30 12:15:04
C1B4313-3/0,CTIC - CREATIVE TICKING,D69679,6967917,6967917,21.0,45.0,0,0,Altus - Plant 3,2025-08-30 12:15:04
C1B4313-3/0,CTIC - CREATIVE TICKING,D69679,6967913,6967913,21.0,47.0,0,0,Altus - Plant 3,2025-08-30 12:15:04
C1B4313-3/0,CTIC - CREATIVE TICKING,D69679,6967918,6967918,20.0,41.0,0,0,Altus - Plant 3,2025-08-30 12:15:04
C1B4313-3/0,CTIC - CREATIVE TICKING,D69679,6967912,6967912,23.0,48.5,0,0,Altus - Plant 3,2025-08-30 12:15:04
C1B4313-3/0,CTIC - CREATIVE TICKING,D69679,6967908,6967908,20.5,46.0,0,0,Altus - Plant 3,2025-08-30 12:15:04
C1B4313-3/0,CTIC - CREATIVE TICKING,D69679,6967904,6967904,22.5,50.0,0,0,Altus - Plant 3,2025-08-30 12:15:04
C1B4313-3/0,CTIC - CREATIVE TICKING,D69679,6967910,6967910,11.0,24.0,0,0,Altus - Plant 3,2025-08-30 12:15:04
C1B4313-3/0,CTIC - CREATIVE TICKING,D69679,6967906,6967906,22.0,48.0,0,0,Altus - Plant 3,2025-08-30 12:15:04
C1B4313-3/0,CTIC - CREATIVE TICKING,D69679,6967901,6967901,23.0,56.0,0,0,Altus - Plant 3,2025-08-30 12:15:04
C1B4313-3/0,CTIC - CREATIVE TICKING,D69679,6967911,6967911,21.5,46.6,0,0,Altus - Plant 3,2025-08-30 12:15:04
C1B4313-3/0,CTIC - CREATIVE TICKING,D69679,6967914,6967914,22.5,48.0,0,0,Altus - Plant 3,2025-08-30 12:15:04
