Yarn Demand Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yarn,Supplier,Description,Color,Monday Inventory,Total Demand,Total Receipt,Balance,Past Due Receipts,,Demand This Week,Receipts This Week,Balance This Week,,Demand Week 37,Receipts Week 37,Balance Week 37,,Demand Week 38,Receipts Week 38,Balance Week 38,,Demand Week 39,Receipts Week 39,Balance Week 39,,Demand Week 40,Receipts Week 40,Balance Week 40,,Demand Week 41,Receipts Week 41,Balance Week 41,,Demand Week 42,Receipts Week 42,Balance Week 42,,Demand Week 43,Receipts Week 43,Balance Week 43,,Demand Week 44,Receipts Week 44,Balance Week 44,,Demand Later,Receipts Later,Balance Later
19067,Marionette,1/150/48 100% Polyester Bright Trilobal Flat ,Bright,0,0,44000,44000,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,44000,44000,,0,0,44000,,0,0,44000
19071,DRAKE EXTRUSION INC,1/70/36 100% Polypropylene Black PCR with Hindered Amine Light Stablilizer ,Black,0,0,168,168,168,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
19025,DECA GLOBAL,1/150/36 100% Polyester Orange 3373-02 ,Orange,0,0,7000,7000,7000,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
18859,NANY,1/70/36 100% Polyester Semi Dull ,Semi Dull,0,0,40600,40600,0,,0,0,0,,0,0,0,,0,0,0,,0,5800,5800,,0,5800,11600,,0,5800,17400,,0,5800,23200,,0,5800,29000,,0,5800,34800,,0,5800,40600
14895,SUPREME CORPORATION,1/200/74 96/4 Polyester/Carbonized Nylon Grey Z ,Grey,4,1.365,0,2.635,0,,1.365,0,2.635,,0,0,2.635,,0,0,2.635,,0,0,2.635,,0,0,2.635,,0,0,2.635,,0,0,2.635,,0,0,2.635,,0,0,2.635,,0,0,2.635
19069,FILSPEC Yarns,46/1 100% Nomex Natural S RS,Natural,734.42,728,0,6.42000000000007,0,,728,0,6.42000000000007,,0,0,6.42000000000007,,0,0,6.42000000000007,,0,0,6.42000000000007,,0,0,6.42000000000007,,0,0,6.42000000000007,,0,0,6.42000000000007,,0,0,6.42000000000007,,0,0,6.42000000000007,,0,0,6.42000000000007
12066,NOBLE BIOMATERIALS INC,1/70/34 100% Nylon Silver XSTATI ,Silver,10,0.96,0,9.04,0,,0.96,0,9.04,,0,0,9.04,,0,0,9.04,,0,0,9.04,,0,0,9.04,,0,0,9.04,,0,0,9.04,,0,0,9.04,,0,0,9.04,,0,0,9.04
14734,XLANCE,1/83 100% XLANCE Natural ELASTOLEFIN ,Natural,126.6,105.6,0,21,0,,105.6,0,21,,0,0,21,,0,0,21,,0,0,21,,0,0,21,,0,0,21,,0,0,21,,0,0,21,,0,0,21,,0,0,21
1571,The LYCRA Company LLC,1/70 100% Lycra Clear 162C ,Clear,224.1,175.392,0,48.708,0,,175.392,0,48.708,,0,0,48.708,,0,0,48.708,,0,0,48.708,,0,0,48.708,,0,0,48.708,,0,0,48.708,,0,0,48.708,,0,0,48.708,,0,0,48.708
19070,FILSPEC Yarns,46/1 100% Nomex Natural Z RS,Natural,793.82,728,0,65.8200000000002,0,,728,0,65.8200000000002,,0,0,65.8200000000002,,0,0,65.8200000000002,,0,0,65.8200000000002,,0,0,65.8200000000002,,0,0,65.8200000000002,,0,0,65.8200000000002,,0,0,65.8200000000002,,0,0,65.8200000000002,,0,0,65.8200000000002
