Style,Yarn,Percentage,This Week,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Later,Total
C1B4312A/2RECA,12526,15.9,895.28303777397,1094.23482394596,760.583581113015,141.281757167051,,,,,,,2891.3832
C1B4312A/2RECA,18594,27.9,1570.96834930149,1920.07242692405,1334.60892534925,247.909498425203,,,,,,,5073.5592
C1B4312A/2RECA,18872,8.2,461.718296210475,564.322362035025,392.250651894762,72.8622898597372,,,,,,,1491.1536
C1B4312A/2RECA,18927,31.7,1784.93536461854,2181.58766786711,1516.38361769073,281.674949823618,,,,,,,5764.5816
C1B4312A/2RECA,18929,0.6,33.7842655763762,41.2918801489043,28.7012672118119,5.3313870629076,,,,,,,109.1088
C1B4312A/2RECA,18961,10.8,608.116780374772,743.253842680277,516.622809812614,95.9649671323367,,,,,,,1963.9584
C1B4312A/2RECA,19003,4.9,275.904835540406,337.217021216052,234.393682229797,43.5396610137454,,,,,,,891.0552
C1B4313A/3REC,18594,26.0,1.04,,,,,,,,,,1.04
C1B4313A/3REC,18865,4.7,0.188,,,,,,,,,,0.188
C1B4313A/3REC,18872,9.0,0.36,,,,,,,,,,0.36
C1B4313A/3REC,18927,30.1,1.204,,,,,,,,,,1.204
C1B4313A/3REC,18929,0.6,0.024,,,,,,,,,,0.024
C1B4313A/3REC,18961,11.8,0.472,,,,,,,,,,0.472
C1B4313A/3REC,19066,17.8,0.712,,,,,,,,,,0.712
C1B4313A/3RECU,12526,17.8,745.648158564511,911.347749356625,911.347749356625,911.347749356625,497.540593365613,,,,,,3977.232
C1B4313A/3RECU,18594,26.0,1089.14899565603,1331.18210580181,1331.18210580181,1331.18210580181,726.744686938536,,,,,,5809.44
C1B4313A/3RECU,18872,9.0,377.013113880933,460.793805854473,460.793805854473,460.793805854473,251.565468555647,,,,,,2010.96
C1B4313A/3RECU,18927,30.1,1260.89941420179,1541.09928402441,1541.09928402441,1541.09928402441,841.346733724999,,,,,,6725.544
C1B4313A/3RECU,18929,0.6,25.1342075920622,30.7195870569649,30.7195870569649,30.7195870569649,16.7710312370431,,,,,,134.064
C1B4313A/3RECU,18961,11.8,494.30608264389,604.151878786976,604.151878786976,604.151878786976,329.830280995182,,,,,,2636.592
C1B4313A/3RECU,19003,4.7,196.88462613782,240.636765279558,240.636765279558,240.636765279558,131.373078023505,,,,,,1050.168
C1B4338A/1KD,18673,13.5,236.25,,,,,,,,,,236.25
C1B4338A/1KD,18763,33.2,581.0,,,,,,,,,,581.0
C1B4338A/1KD,18929,0.6,10.5,,,,,,,,,,10.5
C1B4338A/1KD,18973,47.4,829.5,,,,,,,,,,829.5
C1B4338A/1KD,19003,5.3,92.75,,,,,,,,,,92.75
C1B4374A/1H,12526,8.1,222.75,,,,,,,,,,222.75
C1B4374A/1H,18233,11.6,319.0,,,,,,,,,,319.0
C1B4374A/1H,18673,13.2,363.0,,,,,,,,,,363.0
C1B4374A/1H,18763,16.2,445.5,,,,,,,,,,445.5
C1B4374A/1H,18929,0.7,19.25,,,,,,,,,,19.25
C1B4374A/1H,18973,50.2,1380.5,,,,,,,,,,1380.5
C1B4546A/2D,18233,12.2,95.892,,,,,,,,,,95.892
C1B4546A/2D,18312,26.2,205.932,,,,,,,,,,205.932
C1B4546A/2D,18414,55.5,436.23,,,,,,,,,,436.23
C1B4546A/2D,18865,5.5,43.23,,,,,,,,,,43.23
C1B4546A/2D,18929,0.6,4.716,,,,,,,,,,4.716
C1B4571A/1N,18646,7.4,912.962160894505,1115.84264109328,1092.82798032302,474.348938732785,70.4740789564114,,,,,,3666.4558
C1B4571A/1N,18712,8.0,986.986119885951,1206.3163687495,1181.43565440326,512.809663494903,76.1881934663909,,,,,,3963.736
C1B4571A/1N,18763,35.3,4355.07625399676,5322.87097710715,5213.08482505438,2262.77264017126,336.180403670449,,,,,,17489.9851
C1B4571A/1N,18929,0.7,86.3612854900207,105.552682265581,103.375619760285,44.870845555804,6.6664669283092,,,,,,346.8269
C1B4571A/1N,18954,6.9,851.275528401633,1040.44786804644,1018.98825192281,442.298334764354,65.7123168647623,,,,,,3418.7223
C1B4571A/1N,18993,3.9,481.155733444401,588.079229765379,575.949881521589,249.994710953765,37.1417443148655,,,,,,1932.3213
C1B4571A/1N,19046,37.8,4663.50941646112,5699.84484234136,5582.2834670554,2423.02566001342,359.989214128696,,,,,,18728.6526
C1B4584A/1E,18358,10.9,188.788,,,,,,,,,,188.788
C1B4584A/1E,18414,56.5,978.58,,,,,,,,,,978.58
C1B4584A/1E,18929,0.7,12.124,,,,,,,,,,12.124
C1B4584A/1E,19003,5.3,91.796,,,,,,,,,,91.796
C1B4584A/1E,19030,26.6,460.712,,,,,,,,,,460.712
C1B4612A/1,12526,8.1,79.461,,,,,,,,,,79.461
C1B4612A/1,18233,22.0,215.82,,,,,,,,,,215.82
C1B4612A/1,18452,46.2,453.222,,,,,,,,,,453.222
C1B4612A/1,18673,23.7,232.497,,,,,,,,,,232.497
C1B4613A/1,12526,15.9,316.887,,,,,,,,,,316.887
C1B4613A/1,18233,19.7,392.621,,,,,,,,,,392.621
C1B4613A/1,18372,22.4,446.432,,,,,,,,,,446.432
C1B4613A/1,18452,42.0,837.06,,,,,,,,,,837.06
C1B4639A/1,18726,53.1,,,,,,,,,,,0.0
C1B4639A/1,18861,24.5,,,,,,,,,,,0.0
C1B4639A/1,19019,22.4,,,,,,,,,,,0.0
