bom_style,mapped_to,match_type
CF5125/0,CF5125,base_code
CEE4032/1,CEE4032,base_code
CT2469/1,,unmapped
CEE3572/1,,unmapped
2140372/BX,2140372,base_code
CF5266-HVY/0,CF5266-HVY,base_code
C1B3322/1,C1B3322,base_code
116 CASPER KD/0,,unmapped
BK 8334/0,,unmapped
C1B3749/1A,C1B3749,base_code
4000169788/0,,unmapped
CT2786/1,CT2786,base_code
BK 8433/J,,unmapped
DC4012/0,,unmapped
BK 8517/0,,unmapped
CT2750/1A,CT2750,base_code
AM0018/TDC1,,unmapped
CT2040/TT1S,,unmapped
BK 8187/0,BK8187,base_code
CSP3482/1,CSP3482,base_code
CSP3656/1,CSP3656,base_code
C1B3987C/2,C1B3987C,base_code
CT1433/2O,CT1433,base_code
CT2990/1,,unmapped
C0396F/0,,unmapped
BK 8303/1,,unmapped
CMJ3177/6,CMJ3177,base_code
C1B3271/1,C1B3271,base_code
17068/01A,,unmapped
CT2155/1C,CT2155,base_code
C1B3588/1F,C1B3588,base_code
C1B4612A/1N,C1B4612A,base_code
CEE3519/1,,unmapped
CT22116/1,CT22116,base_code
CEE4515C/1,CEE4515C,base_code
CT3071/3,CT3071,base_code
CT2658/1,,unmapped
CMJ3164/2,CMJ3164,base_code
14891/01A,,unmapped
2027-2.9/0,2027-2.9,base_code
SK3024T/MVSV,,unmapped
CT22103/1L,CT22103,base_code
CF5387/0,CF5387,base_code
FF 25002/0001,FF25002,base_code
C1B2946/6L,C1B2946,base_code
CT2605/2,,unmapped
C1B3226/2U,C1B3226,base_code
C1B4584A/1U,C1B4584A,base_code
C1B4714A/1,C1B4714A,base_code
CT2528/TT1,,unmapped
CT2538/1,,unmapped
C1B3315/1,C1B3315,base_code
BK 8187/A0,BK8187,base_code
CEE4092A/1,CEE4092A,base_code
CT2918/1DE,CT2918,base_code
IC I262/0,,unmapped
FL2646/UU,,unmapped
C1B3306/17,C1B3306,base_code
13124/01B,,unmapped
C897-17/0,,unmapped
CF5501/TUB,CF5501,base_code
C1B3604/1,C1B3604,base_code
17034/01B,,unmapped
CT2345/1P,,unmapped
C1B4573A/1,C1B4573A,base_code
CT2472/7,,unmapped
CEE3304A/1,CEE3304A,base_code
C1B3624/2,C1B3624,base_code
125792/1,125792,base_code
CT3023/1,CT3023,base_code
1631/LN,,unmapped
C1B3299/1U,C1B3299,base_code
C1B3306/5,C1B3306,base_code
CEE4683A/1,CEE4683A,base_code
CT2352/1,,unmapped
CF5082/0,CF5082,base_code
CT2266/TT1DE,CT2266,base_code
C1B4544-42/1,C1B4544-42,base_code
C1B3200/1,C1B3200,base_code
C1B4381A/1,C1B4381A,base_code
CEE4078/2A,CEE4078,base_code
CEE4621A/1,CEE4621A,base_code
CT3005/4,CT3005,base_code
CF5232/0,CF5232,base_code
AM0014/L,,unmapped
3000070231/1,,unmapped
6191/3630C,6191,base_code
CMR3729/1,CMR3729,base_code
CF5043/0,CF5043,base_code
C1B3235/1,C1B3235,base_code
CT3018/1U,CT3018,base_code
C1B3199/1S,C1B3199,base_code
CT2575/0,,unmapped
CEE3484/1,CEE3484,base_code
C4T3570/FEC1,C4T3570,base_code
CMR4344/3,CMR4344,base_code
