Document,Invoice Date,Customer,fStyle#,Yds_ordered,UOM,Unit Price,Line Price,1st Invoice,Sales Rep,Commission,Selling Co,PO#
S2504167,04-14-25,Serta Mattress Co,50000175,40,yds, $5.60 , $225.12 ,INV0009214,Julia Dibrell,,CT,61864
S2504165,04-14-25,Serta Mattress Co,50000173,61,yds, $3.58 , $216.59 ,INV0009214,Julia Dibrell,,CT,61864
S2504169,04-14-25,Serta Mattress Co,50000174,66,yds, $3.99 , $262.54 ,INV0009214,Julia Dibrell,,CT,61864
S2504191,04-14-25,Serta Simmons Bedding Company,700094134,121,yds, $3.85 , $467.39 ,INV0009212,Julia Dibrell,,CT,L8308-123
S2504168,04-14-25,Serta Mattress Co,50000183,91,yds, $5.48 , $497.58 ,INV0009214,Julia Dibrell,,CT,61864
S2504185,04-15-25,JEFFCO FIBRES INC,CT4183-BLR,587,yds, $6.75 ," $3,962.25 ",INV0009225,Julia Dibrell,,CT,2034478
S2504223,04-15-25,Serta Simmons Bedding Company,70005413,532,yds, $5.69 ," $3,025.94 ",INV0009222,Julia Dibrell,,CT,L8306-043
S2504186,04-15-25,JEFFCO FIBRES INC,C1B4313-2,522,yds, $12.25 ," $6,398.17 ",INV0009224,Julia Dibrell,,CT,2034479
S2504219,04-15-25,Serta Simmons Bedding Company,700094134,61,yds, $3.85 , $233.70 ,INV0009220,Julia Dibrell,,CT,L8309-057
S2504213,04-15-25,Serta Simmons Bedding Company,50000183,100,yds, $5.48 , $549.64 ,INV0009221,Julia Dibrell,,CT,L8269-045
S2504216,04-15-25,Serta Simmons Bedding Company,50000182,60,yds, $4.99 , $299.40 ,INV0009220,Julia Dibrell,,CT,L8309-057
S2504212,04-15-25,Serta Simmons Bedding Company,50000176,41,yds, $5.68 , $231.18 ,INV0009221,Julia Dibrell,,CT,L8269-045
S2504217,04-15-25,Serta Simmons Bedding Company,700094133,63,yds, $3.50 , $218.75 ,INV0009220,Julia Dibrell,,CT,L8309-057
S2504218,04-15-25,Serta Simmons Bedding Company,50000183,50,yds, $5.48 , $275.64 ,INV0009220,Julia Dibrell,,CT,L8309-057
S2504209,04-15-25,Serta Simmons Bedding Company,700094134,121,yds, $3.85 , $467.00 ,INV0009221,Julia Dibrell,,CT,L8269-045
S2504215,04-15-25,Serta Simmons Bedding Company,700094133,127,yds, $3.50 , $444.50 ,INV0009221,Julia Dibrell,,CT,L8269-045
S2504211,04-15-25,Serta Simmons Bedding Company,50000174,66,yds, $4.07 , $267.81 ,INV0009221,Julia Dibrell,,CT,L8269-045
S2504187,04-15-25,JEFFCO FIBRES INC,CMR4067-3,601,yds, $5.80 ," $3,483.48 ",INV0009224,Julia Dibrell,,CT,2034479
S2504188,04-15-25,JEFFCO FIBRES INC,C1B4312-1,829,yds, $12.25 ," $10,155.25 ",INV0009224,Julia Dibrell,,CT,2034479
S2504206,04-15-25,Serta Simmons Bedding Company,700094134,61,yds, $3.85 , $232.93 ,INV0009219,Julia Dibrell,,CT,L8346-034
S2504210,04-15-25,Serta Simmons Bedding Company,50000182,46,yds, $4.99 , $227.05 ,INV0009221,Julia Dibrell,,CT,L8269-045
S2504214,04-15-25,Serta Simmons Bedding Company,50000173,60,yds, $3.66 , $219.97 ,INV0009221,Julia Dibrell,,CT,L8269-045
S2504224,04-15-25,Serta Simmons Bedding Company,700094134,61,yds, $3.85 , $233.70 ,INV0009222,Julia Dibrell,,CT,L8306-043
S2504174,04-16-25,Southerland Inc,C1B3472-1,67,yds, $15.76 ," $1,055.92 ",INV0009228,Julia Dibrell,,CT,1002580
S2504244,04-16-25,Serta Simmons Bedding Company,70005413,41,yds, $5.69 , $231.01 ,INV0009226,Julia Dibrell,,CT,L8308-124
S2504246,04-16-25,Serta Simmons Bedding Company,700094133,75,yds, $3.50 , $261.10 ,INV0009226,Julia Dibrell,,CT,L8308-124
S2504245,04-16-25,Serta Simmons Bedding Company,50000173,61,yds, $3.66 , $222.16 ,INV0009226,Julia Dibrell,,CT,L8308-124
S2504242,04-16-25,BROOKLYN BEDDING,C1B3194-1,1041,yds, $3.98 ," $4,144.77 ",INV0009217,Camilla Franklin,,CT,31142
S2504057,04-16-25,BROOKLYN BEDDING,CEE4638-1CE,337,yds, $9.50 ," $3,205.30 ",INV0009217,Camilla Franklin,,CT,28587
S2504232,04-16-25,SALT LAKE MATTRESS AND MFG (Serta),C1B2946-2CZ35,60,yds, $9.16 , $553.26 ,INV0009230,House,,CT,22157
S2504234,04-16-25,SALT LAKE MATTRESS AND MFG (Serta),AMER220001-2,28,yds, $0.00 , $0.00 ,INV0009230,House,,CT,22157
S2504240,04-16-25,Serta Simmons Bedding Company,50000183,51,yds, $5.48 , $277.29 ,INV0009232,Julia Dibrell,,CT,L8262-049
S2504228,04-16-25,Serta Simmons Bedding Company,50000183,86,yds, $5.48 , $469.64 ,INV0009231,Julia Dibrell,,CT,L8349-042
S2504229,04-16-25,Serta Simmons Bedding Company,700094134,66,yds, $3.85 , $252.95 ,INV0009231,Julia Dibrell,,CT,L8349-042
S2503140,04-16-25,BROOKLYN BEDDING,CEE4638-1CE,694,yds, $9.50 ," $6,590.15 ",INV0009217,Camilla Franklin,,CT,27855
S2504227,04-16-25,Serta Simmons Bedding Company,50000174,60,yds, $4.07 , $245.83 ,INV0009231,Julia Dibrell,,CT,L8349-042
S2504243,04-16-25,BROOKLYN BEDDING,CEE4317-1FI,330,yds, $8.75 ," $2,888.38 ",INV0009217,Camilla Franklin,,CT,31142
S2504238,04-16-25,SALT LAKE MATTRESS AND MFG (Serta),C1B4656-3,10,yds, $0.00 , $0.00 ,INV0009230,House,,CT,22157
S2504237,04-16-25,SALT LAKE MATTRESS AND MFG (Serta),C1B4655-3,10,yds, $0.00 , $0.00 ,INV0009230,House,,CT,22157
S2504230,04-16-25,SALT LAKE MATTRESS AND MFG (Serta),50000174,78,yds, $3.99 , $312.42 ,INV0009230,House,,CT,22157
S2504233,04-16-25,SALT LAKE MATTRESS AND MFG (Serta),C1B4673-1,19,yds, $0.00 , $0.00 ,INV0009230,House,,CT,22157
S2504176,04-16-25,Southerland Inc,C1B3402-1,30,yds, $14.97 , $455.09 ,INV0009228,Julia Dibrell,,CT,1002580
S2504175,04-16-25,Southerland Inc,CT2266-TT1,189,yds, $9.00 ," $1,704.60 ",INV0009228,Julia Dibrell,,CT,1002580
S2504170,04-16-25,Southerland Inc,C1B3912-1FS,131,yds, $13.50 ," $1,773.90 ",INV0009229,Julia Dibrell,,CT,1002577
S2504235,04-16-25,SALT LAKE MATTRESS AND MFG (Serta),C1B3165-1,20,yds, $0.00 , $0.00 ,INV0009230,House,,CT,22157
S2504231,04-16-25,SALT LAKE MATTRESS AND MFG (Serta),50000176,104,yds, $5.60 , $582.96 ,INV0009230,House,,CT,22157
S2504239,04-16-25,SALT LAKE MATTRESS AND MFG (Serta),C1B4655-1,10,yds, $0.00 , $0.00 ,INV0009230,House,,CT,22157
S2504172,04-16-25,Southerland Inc,CT2155-1,1507,yds, $1.33 ," $2,004.31 ",INV0009229,Julia Dibrell,,CT,1002577
S2504173,04-16-25,Southerland Inc,C1B4338-1,211,yds, $13.38 ," $2,827.19 ",INV0009229,Julia Dibrell,,CT,1002577
S2504171,04-16-25,Southerland Inc,C1B3225-1,305,yds, $13.85 ," $4,218.71 ",INV0009229,Julia Dibrell,,CT,1002577
S2504236,04-16-25,SALT LAKE MATTRESS AND MFG (Serta),C1B4656-1,10,yds, $0.00 , $0.00 ,INV0009230,House,,CT,22157
S2504255,04-17-25,Serta Simmons Bedding Company,50000183,51,yds, $5.48 , $276.74 ,INV0009237,Julia Dibrell,,CT,L8348-053
S2504249,04-17-25,Pleasant Mattress Inc.,C1B4014-1,204,yds, $10.45 ," $2,127.62 ",INV0009236,Camilla Franklin,,CT,151332
S2504148,04-17-25,SEALY INC,CT2155-1,6425,yds, $1.61 ," $10,344.25 ",INV0009240,House,,CT,610-065665-1
S2503090,04-17-25,Brentwood / Silver Rest,C1B4654-1SC,3488,yds, $11.00 ," $38,368.00 ",INV0009235,Tim Scorziell,2,CT,65640
S2504251,04-17-25,Serta Simmons Bedding Company,700094134,131,yds, $3.85 , $503.97 ,INV0009237,Julia Dibrell,,CT,L8348-053
S2504252,04-17-25,Serta Simmons Bedding Company,50000182,90,yds, $4.99 , $450.60 ,INV0009237,Julia Dibrell,,CT,L8348-053
S2504254,04-17-25,Serta Simmons Bedding Company,700094133,60,yds, $3.50 , $211.05 ,INV0009237,Julia Dibrell,,CT,L8348-053
S2502032,04-17-25,Lebanon Apparel Corporation,CT0246,2061,yds, $10.50 ," $21,640.50 ",INV0009233,House,,CT,4165
S2504253,04-17-25,Serta Simmons Bedding Company,50000173,39,yds, $3.66 , $143.47 ,INV0009237,Julia Dibrell,,CT,L8348-053
S2504301,04-21-25,Paramount Industrial Co Inc,CT3085-1FI,222,yds, $4.25 , $945.20 ,INV0009246,House,,CT,B716-005
S2504289,04-21-25,Serta Simmons Bedding Company,70005413,137,yds, $5.69 , $778.39 ,INV0009250,Julia Dibrell,,CT,L8308-125
S2504308,04-21-25,Piedmont Ticking and Feather,CEE3837-1,187,yds, $13.25 ," $2,471.12 ",INV0009251,Camilla Franklin,,CT,RESTP41525
S2504293,04-21-25,Serta Simmons Bedding Company,50000182,40,yds, $4.99 , $199.60 ,INV0009247,Julia Dibrell,,CT,L8307-068
S2504296,04-21-25,Prana Sleep,C1B3987-1,1013,yds, $13.75 ," $13,930.12 ",INV0009243,Camilla Franklin,,CT,232-039
S2504294,04-21-25,Serta Simmons Bedding Company,50000183,51,yds, $5.48 , $278.38 ,INV0009247,Julia Dibrell,,CT,L8307-068
S2504288,04-21-25,Serta Simmons Bedding Company,50000183,46,yds, $5.48 , $249.34 ,INV0009248,Julia Dibrell,,CT,L8359-031
S2504295,04-21-25,Serta Simmons Bedding Company,50000175,65,yds, $5.68 , $369.20 ,INV0009247,Julia Dibrell,,CT,L8307-068
S2504208,04-21-25,Precision Textiles,CSP4479-1,1011,yds, $9.83 ," $9,935.18 ",INV0009245,Julia Dibrell,,CT,62489
S2504291,04-21-25,Serta Simmons Bedding Company,50000183,46,yds, $5.48 , $250.44 ,INV0009249,Julia Dibrell,,CT,L8314-043
S2504292,04-21-25,Serta Simmons Bedding Company,700094134,66,yds, $3.85 , $252.56 ,INV0009247,Julia Dibrell,,CT,L8307-068
S2504297,04-21-25,Sound Sleep,C1B4139-1,2993,yds, $4.35 ," $13,018.24 ",INV0009244,Camilla Franklin,,CT,25-00351
S2504315,04-22-25,Serta Simmons Bedding Company,70005413,91,yds, $5.69 , $520.07 ,INV0009260,Julia Dibrell,,CT,L8308-127
S2504309,04-22-25,Serta Simmons Bedding Company,700094134,71,yds, $3.85 , $271.81 ,INV0009255,Julia Dibrell,,CT,L8262-050
S2504312,04-22-25,SALT LAKE MATTRESS AND MFG (Serta),CT3085-1FI,61,yds, $4.25 , $257.98 ,INV0009257,House,,CT,22190
S2504306,04-22-25,Serta Simmons Bedding Company,50000176,40,yds, $5.68 , $228.34 ,INV0009254,Julia Dibrell,,CT,L8308-126
S2504313,04-22-25,Serta Simmons Bedding Company,70005413,420,yds, $5.69 ," $2,389.23 ",INV0009256,Julia Dibrell,,CT,L8306-044
S2504310,04-22-25,Paramount Industrial Co Inc,CT2155-1,656,yds, $1.33 , $872.48 ,INV0009258,House,,CT,40749
S2504300,04-22-25,Serta Simmons Bedding Company,700094133,60,yds, $3.50 , $210.00 ,INV0009252,Julia Dibrell,,CT,L8346-035
S2504302,04-22-25,Serta Simmons Bedding Company,50000183,46,yds, $5.48 , $249.89 ,INV0009253,Julia Dibrell,,CT,L8265-051
S2504305,04-22-25,Serta Simmons Bedding Company,70005413,122,yds, $5.69 , $693.61 ,INV0009254,Julia Dibrell,,CT,L8308-126
S2504304,04-22-25,Serta Simmons Bedding Company,50000173,65,yds, $3.66 , $239.00 ,INV0009254,Julia Dibrell,,CT,L8308-126
S2504314,04-22-25,Serta Simmons Bedding Company,50000174,61,yds, $4.07 , $246.64 ,INV0009260,Julia Dibrell,,CT,L8308-127
S2504316,04-22-25,Serta Simmons Bedding Company,700094133,62,yds, $3.50 , $217.00 ,INV0009260,Julia Dibrell,,CT,L8308-127
S2504303,04-22-25,Serta Simmons Bedding Company,50000174,61,yds, $4.07 , $247.46 ,INV0009253,Julia Dibrell,,CT,L8265-051
S2504307,04-22-25,Serta Simmons Bedding Company,700094134,71,yds, $3.85 , $271.81 ,INV0009254,Julia Dibrell,,CT,L8308-126
S2504311,04-22-25,Serta Simmons Bedding Company,50000182,45,yds, $4.99 , $226.05 ,INV0009259,Julia Dibrell,,CT,L8265-052
S2504284,04-23-25,Southerland Inc,C1B3912-1FS,381,yds, $13.50 ," $5,148.90 ",INV0009261,Julia Dibrell,,CT,1002768
S2504330,04-23-25,KING KOIL MANUFACTURING WEST,CT2155-1,4108,yds, $1.33 ," $5,463.64 ",INV0009267,Camilla Franklin,,CT,27372
S2504324,04-23-25,Serta Simmons Bedding Company,50000173,61,yds, $3.66 , $222.53 ,INV0009264,Julia Dibrell,,CT,L8262-051
S2504326,04-23-25,MIDWEST SLEEP,CEE3273-1CZ35,99,yds, $12.99 ," $1,284.71 ",INV0009265,Camilla Franklin,,CT,25-00126
S2504290,04-23-25,Southerland Inc,CT2266-TT1,551,yds, $9.00 ," $4,961.70 ",INV0009262,Julia Dibrell,,CT,1002780
S2504327,04-23-25,MIDWEST SLEEP,CEE3837-1,367,yds, $13.50 ," $4,957.20 ",INV0009265,Camilla Franklin,,CT,25-00126
S2504285,04-23-25,Southerland Inc,C1B4338-1,196,yds, $13.38 ," $2,626.49 ",INV0009261,Julia Dibrell,,CT,1002768
S2504325,04-23-25,Serta Simmons Bedding Company,50000182,45,yds, $4.99 , $224.55 ,INV0009264,Julia Dibrell,,CT,L8262-051
S2504287,04-23-25,Southerland Inc,C1B3225-1,453,yds, $13.85 ," $6,269.89 ",INV0009261,Julia Dibrell,,CT,1002768
S2504286,04-23-25,Southerland Inc,CEE3466-1,30,yds, $16.85 , $507.19 ,INV0009261,Julia Dibrell,,CT,1002768
S2504283,04-23-25,Southerland Inc,CT2155-1,1643,yds, $1.33 ," $2,184.53 ",INV0009261,Julia Dibrell,,CT,1002768
S2504321,04-23-25,Serta Simmons Bedding Company,700094134,141,yds, $3.85 , $542.47 ,INV0009263,Julia Dibrell,,CT,L8346-036
S2504318,04-24-25,Foamorder.com,C1B4654-1SC,307,yds, $13.00 ," $3,992.30 ",INV0009279,Tim Scorziell,2,CT,30368
S2504323,04-24-25,SALT LAKE MATTRESS AND MFG (Serta),C1B4655-1,15,yds, $7.50 , $112.50 ,INV0009276,House,,CT,22195
S2504322,04-24-25,SALT LAKE MATTRESS AND MFG (Serta),C1B4656-2,24,yds, $7.00 , $168.00 ,INV0009276,House,,CT,22195
S2504279,04-24-25,BROOKLYN BEDDING,CEE4638-1CE,328,yds, $9.50 ," $3,113.15 ",INV0009274,Camilla Franklin,,CT,27855
S2504328,04-24-25,BROOKLYN BEDDING,CEE4317-1FI,407,yds, $8.75 ," $3,563.88 ",INV0009274,Camilla Franklin,,CT,31945
S2504340,04-24-25,Serta Simmons Bedding Company,700094134,84,yds, $3.85 , $323.78 ,INV0009272,Julia Dibrell,,CT,L8359-032
S2504336,04-24-25,Serta Simmons Bedding Company,50000182,45,yds, $4.99 , $225.55 ,INV0009271,Julia Dibrell,,CT,L8307-069
S2504335,04-24-25,Serta Simmons Bedding Company,50000173,60,yds, $3.66 , $221.06 ,INV0009271,Julia Dibrell,,CT,L8307-069
S2504329,04-24-25,BROOKLYN BEDDING,C1B3194-1,735,yds, $3.98 ," $2,925.70 ",INV0009274,Camilla Franklin,,CT,31945
S2504341,04-24-25,Carpenter Co - Fogelsville,CT1916-WSTT3,122,yds, $11.75 ," $1,429.98 ",INV0009278,House,,CT,4502733415
S2504332,04-24-25,Serta Simmons Bedding Company,700094133,76,yds, $3.50 , $264.95 ,INV0009270,Julia Dibrell,,CT,L8263-024
S2504339,04-24-25,Serta Simmons Bedding Company,700094133,61,yds, $3.50 , $211.75 ,INV0009272,Julia Dibrell,,CT,L8359-032
S2504333,04-24-25,Serta Simmons Bedding Company,700094134,66,yds, $3.85 , $252.56 ,INV0009270,Julia Dibrell,,CT,L8263-024
S2504334,04-24-25,Serta Simmons Bedding Company,700094134,66,yds, $3.85 , $252.95 ,INV0009269,Julia Dibrell,,CT,L8309-058
S2504338,04-24-25,SEALY INC,CT2155-1,454,yds, $1.61 , $730.94 ,INV0009273,House,,CT,415-298336-1
S2504347,04-25-25,Serta Simmons Bedding Company,50000175,41,yds, $5.68 , $230.04 ,INV0009282,Julia Dibrell,,CT,L8309-059
S2504352,04-25-25,Serta Simmons Bedding Company,50000176,40,yds, $5.68 , $226.06 ,INV0009281,Julia Dibrell,,CT,L8308-128
S2504355,04-25-25,Sound Sleep,C1B4014-1,143,yds, $10.45 ," $1,490.17 ",INV0009284,Camilla Franklin,,CT,25-00379
S2504351,04-25-25,Serta Simmons Bedding Company,700094134,66,yds, $3.85 , $252.95 ,INV0009281,Julia Dibrell,,CT,L8308-128
S2504346,04-25-25,Serta Simmons Bedding Company,50000173,60,yds, $3.66 , $219.60 ,INV0009282,Julia Dibrell,,CT,L8309-059
S2504349,04-25-25,Serta Simmons Bedding Company,700094134,66,yds, $3.85 , $253.33 ,INV0009283,Julia Dibrell,,CT,L8314-044
S2504344,04-25-25,Serta Simmons Bedding Company,50000174,61,yds, $4.07 , $246.24 ,INV0009282,Julia Dibrell,,CT,L8309-059
S2504345,04-25-25,Serta Simmons Bedding Company,700094134,268,yds, $3.85 ," $1,032.96 ",INV0009282,Julia Dibrell,,CT,L8309-059
S2504342,04-25-25,Serta Simmons Bedding Company,700094133,207,yds, $3.50 , $725.90 ,INV0009282,Julia Dibrell,,CT,L8309-059
S2504350,04-25-25,Serta Simmons Bedding Company,70005413,226,yds, $5.69 ," $1,288.22 ",INV0009281,Julia Dibrell,,CT,L8308-128
S2504343,04-25-25,Serta Simmons Bedding Company,50000176,41,yds, $5.68 , $231.74 ,INV0009282,Julia Dibrell,,CT,L8309-059
S2504353,04-25-25,Serta Simmons Bedding Company,700094134,66,yds, $3.85 , $252.18 ,INV0009286,Julia Dibrell,,CT,L8265-053
S2504354,04-25-25,Sound Sleep,CEE4324-1CZ35,509,yds, $13.25 ," $6,749.55 ",INV0009284,Camilla Franklin,,CT,25-00379
S2504366,04-28-25,Serta Simmons Bedding Company,50000175,40,yds, $5.68 , $228.90 ,INV0009291,Julia Dibrell,,CT,L8265-054
S2504368,04-28-25,Serta Simmons Bedding Company,50000175,41,yds, $5.68 , $231.74 ,INV0009290,Julia Dibrell,,CT,L8308-129
S2504367,04-28-25,Serta Simmons Bedding Company,700094133,70,yds, $3.50 , $245.70 ,INV0009290,Julia Dibrell,,CT,L8308-129
S2504369,04-28-25,Serta Simmons Bedding Company,70005413,163,yds, $5.69 , $928.61 ,INV0009290,Julia Dibrell,,CT,L8308-129
S2504380,04-28-25,Otis Bed Mfg Co Inc,K04-330-KT1997,46,yds, $5.50 , $255.20 ,INV0009294,House,,CT,Sample
S2504363,04-28-25,Serta Restokraft Mattress Co Inc,50000182,102,yds, $4.99 , $509.48 ,INV0009292,Julia Dibrell,,CT,50409
S2504361,04-28-25,Serta Restokraft Mattress Co Inc,50000174,122,yds, $3.99 , $485.18 ,INV0009292,Julia Dibrell,,CT,50409
S2504362,04-28-25,Serta Restokraft Mattress Co Inc,50000173,78,yds, $3.58 , $279.60 ,INV0009292,Julia Dibrell,,CT,50409
S2504360,04-28-25,Serta Restokraft Mattress Co Inc,50000175,115,yds, $5.60 , $641.76 ,INV0009292,Julia Dibrell,,CT,50409
S2504319,04-28-25,JEFFCO FIBRES INC,CT22150-1,1201,yds, $3.90 ," $4,683.90 ",INV0009285,Julia Dibrell,,CT,2034550
S2504320,04-28-25,JEFFCO FIBRES INC,CT4183-BLR,569,yds, $6.75 ," $3,840.75 ",INV0009285,Julia Dibrell,,CT,2034550
S2504061,04-28-25,Custom Comfort Mattress,C2B3237-3,1026,yds, $6.75 ," $6,927.52 ",INV0009293,Tim Scorziell,2,CT,46316
S2504384,04-29-25,Serta Simmons Bedding Company,50000182,46,yds, $4.99 , $227.05 ,INV0009304,Julia Dibrell,,CT,L8265-055
S2504385,04-29-25,Serta Simmons Bedding Company,700094133,76,yds, $3.50 , $264.95 ,INV0009302,Julia Dibrell,,CT,L8306-045
S2504383,04-29-25,Serta Simmons Bedding Company,700094133,76,yds, $3.50 , $264.25 ,INV0009304,Julia Dibrell,,CT,L8265-055
S2504375,04-29-25,Serta Simmons Bedding Company,50000174,121,yds, $4.07 , $493.28 ,INV0009301,Julia Dibrell,,CT,L8269-046
S2504374,04-29-25,Serta Simmons Bedding Company,700094133,181,yds, $3.50 , $634.20 ,INV0009301,Julia Dibrell,,CT,L8269-046
S2504386,04-29-25,Serta Simmons Bedding Company,50000173,78,yds, $3.66 , $285.85 ,INV0009302,Julia Dibrell,,CT,L8306-045
S2504381,04-29-25,Serta Simmons Bedding Company,70005413,81,yds, $5.69 , $461.46 ,INV0009303,Julia Dibrell,,CT,L8308-130
S2504373,04-29-25,Serta Simmons Bedding Company,700094134,196,yds, $3.85 , $754.99 ,INV0009301,Julia Dibrell,,CT,L8269-046
S2504382,04-29-25,Serta Simmons Bedding Company,50000173,78,yds, $3.66 , $285.48 ,INV0009303,Julia Dibrell,,CT,L8308-130
S2504387,04-29-25,Serta Simmons Bedding Company,70005413,257,yds, $5.69 ," $1,460.62 ",INV0009302,Julia Dibrell,,CT,L8306-045
S2504372,04-29-25,Serta Simmons Bedding Company,50000175,40,yds, $5.68 , $227.20 ,INV0009301,Julia Dibrell,,CT,L8269-046
S2504376,04-29-25,Serta Simmons Bedding Company,50000173,157,yds, $3.66 , $573.16 ,INV0009301,Julia Dibrell,,CT,L8269-046
S2504388,04-29-25,Serta Simmons Bedding Company,700094134,66,yds, $3.85 , $252.56 ,INV0009302,Julia Dibrell,,CT,L8306-045
S2504403,04-30-25,Serta Simmons Bedding Company,700094134,71,yds, $3.85 , $272.19 ,INV0009305,Julia Dibrell,,CT,L8308-131
S2504400,04-30-25,Serta Simmons Bedding Company,50000174,61,yds, $4.07 , $246.64 ,INV0009305,Julia Dibrell,,CT,L8308-131
S2504359,04-30-25,Southerland Inc,C1B3472-1,76,yds, $15.76 ," $1,197.76 ",INV0009310,Julia Dibrell,,CT,1002940
S2504419,04-30-25,Purple Innovations LLC        2,40-21-41025L,6,kg, $0.00 , $0.00 ,INV0009311,House,,CT,Scrim Sample
S2504401,04-30-25,Serta Simmons Bedding Company,70005413,41,yds, $5.69 , $231.01 ,INV0009305,Julia Dibrell,,CT,L8308-131
S2504357,04-30-25,Southerland Inc,CT2155-1,1618,yds, $1.33 ," $2,151.94 ",INV0009310,Julia Dibrell,,CT,1002940
S2504402,04-30-25,Serta Simmons Bedding Company,50000175,42,yds, $5.68 , $236.86 ,INV0009305,Julia Dibrell,,CT,L8308-131
S2504358,04-30-25,Southerland Inc,C1B3225-1,325,yds, $13.85 ," $4,506.79 ",INV0009310,Julia Dibrell,,CT,1002940
S2504412,05-01-25,Serta Simmons Bedding Company,50000182,45,yds, $4.99 , $226.55 ,INV0009321,Julia Dibrell,,CT,L8263-025
S2504428,05-01-25,Serta Simmons Bedding Company,50000182,46,yds, $4.99 , $227.05 ,INV0009317,Julia Dibrell,,CT,L8359-033
S2504422,05-01-25,Serta Simmons Bedding Company,700094133,75,yds, $3.50 , $263.90 ,INV0009318,Julia Dibrell,,CT,L8462-041
S2504413,05-01-25,Serta Simmons Bedding Company,50000183,51,yds, $5.48 , $278.38 ,INV0009321,Julia Dibrell,,CT,L8263-025
S2504407,05-01-25,Pleasant Mattress Inc.,CT2155-1,154,yds, $1.40 , $215.60 ,INV0009316,Camilla Franklin,,CT,151536
S2504406,05-01-25,Pleasant Mattress Inc.,C1B4014-1,102,yds, $10.45 ," $1,069.03 ",INV0009316,Camilla Franklin,,CT,151536
S2504411,05-01-25,Serta Simmons Bedding Company,700094134,141,yds, $3.85 , $542.47 ,INV0009320,Julia Dibrell,,CT,L8348-054
S2504424,05-01-25,Serta Simmons Bedding Company,70005413,128,yds, $5.69 , $729.46 ,INV0009319,Julia Dibrell,,CT,L8308-132
S2504426,05-01-25,Prana Sleep,C1B4544-1,828,yds, $13.25 ," $10,976.30 ",INV0009315,Camilla Franklin,,CT,240-009
S2504425,05-01-25,Serta Simmons Bedding Company,50000176,40,yds, $5.68 , $229.47 ,INV0009319,Julia Dibrell,,CT,L8308-132
S2504423,05-01-25,Serta Simmons Bedding Company,700094134,71,yds, $3.85 , $271.81 ,INV0009318,Julia Dibrell,,CT,L8462-041
S2505001,05-02-25,Serta Simmons Bedding Company,700094133,76,yds, $3.50 , $265.30 ,INV0009327,Julia Dibrell,,CT,L8346-037
S2504389,05-02-25,Brentwood / Silver Rest,C1B4654-1SC,4070,yds, $11.00 ," $44,774.40 ",INV0009325,Tim Scorziell,2,CT,65640
S2504225,05-02-25,Upper Midwest Sleep LLC,CEE3065-2CZ35,99,yds, $13.25 ," $1,317.05 ",INV0009313,Camilla Franklin,,CT,25-00079
S2505006,05-02-25,Serta Simmons Bedding Company,700094133,76,yds, $3.50 , $264.95 ,INV0009326,Julia Dibrell,,CT,L8314-045
S2505010,05-02-25,Reliefmart/Ultrabed,C1B4356-1,874,yds, $7.79 ," $6,810.02 ",INV0009324,Tim Scorziell,2,CT,18617
S2505005,05-02-25,Serta Simmons Bedding Company,700094134,71,yds, $3.85 , $272.19 ,INV0009328,Julia Dibrell,,CT,L8262-052
S2505011,05-02-25,Reliefmart/Ultrabed,CT1577-GS1,556,yds, $10.50 ," $5,841.15 ",INV0009324,Tim Scorziell,2,CT,18617
S2505012,05-05-25,SEALY INC,CT2155-1,6673,yds, $1.33 ," $8,875.09 ",INV0009329,House,,CT,610-066305-1
S2505026,05-05-25,Serta Simmons Bedding Company,700094133,76,yds, $3.50 , $264.60 ,INV0009330,Julia Dibrell,,CT,L8348-055
S2505034,05-05-25,Serta Simmons Bedding Company,700094134,71,yds, $3.85 , $272.58 ,INV0009331,Julia Dibrell,,CT,L8346-038
S2504365,05-06-25,SALT LAKE MATTRESS AND MFG (Serta),C1B3165-1,1034,yds, $6.00 ," $6,202.80 ",INV0009338,House,,CT,22205
S2505017,05-06-25,Southerland Inc,CT2155-1,1360,yds, $1.33 ," $1,808.80 ",INV0009336,Julia Dibrell,,CT,33243
S2504416,05-06-25,SALT LAKE MATTRESS AND MFG (Serta),CT3085-1FI,202,yds, $4.25 , $857.65 ,INV0009338,House,,CT,22230
S2505028,05-06-25,Serta Simmons Bedding Company,700094133,76,yds, $3.50 , $264.60 ,INV0009344,Julia Dibrell,,CT,L8262-053
S2505039,05-06-25,Serta Simmons Bedding Company,700094134,70,yds, $3.85 , $271.04 ,INV0009340,Julia Dibrell,,CT,L8308-133
S2505044,05-06-25,Serta Simmons Bedding Company,70009236,62,yds, $5.95 , $371.28 ,INV0009339,Julia Dibrell,,CT,L8346-039
S2505037,05-06-25,Serta Simmons Bedding Company,70005413,54,yds, $5.69 , $307.26 ,INV0009340,Julia Dibrell,,CT,L8308-133
S2505038,05-06-25,Serta Simmons Bedding Company,700094133,76,yds, $3.50 , $264.60 ,INV0009340,Julia Dibrell,,CT,L8308-133
S2505053,05-06-25,Serta Simmons Bedding Company,50000176,40,yds, $5.68 , $229.47 ,INV0009341,Julia Dibrell,,CT,L8309-060
S2505041,05-06-25,Southerland Inc,C1B3225-1,305,yds, $13.85 ," $4,228.40 ",INV0009335,Julia Dibrell,,CT,33330
