Style,KO,Yarn,Percentage,This Week,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Later,Total
CF5482/0,K2503041,18415,81.7,2.6144,,,,,,,,,,2.6144
CF5487/0,K2503076,13561,1.7,0.0085,,,,,,,,,,0.0085
CF5487/0,K2503076,18573,66.0,0.33,,,,,,,,,,0.33
CF5487/0,K2503076,19031,32.3,0.1615,,,,,,,,,,0.1615
CF5487/0,K2506120,13561,1.7,0.3281,,,,,,,,,,0.3281
CF5487/0,K2506120,18573,66.0,12.738,,,,,,,,,,12.738
CF5487/0,K2506120,19031,32.3,6.2339,,,,,,,,,,6.2339
CF5506/0,K2508091,19062,100.0,1200.0,,,,,,,,,,1200.0
CF5513/0,K2508034,11648,6.1,1.83,,,,,,,,,,1.83
CF5513/0,K2508034,18282,86.6,25.98,,,,,,,,,,25.98
CF5513/0,K2508034,18599,7.3,2.19,,,,,,,,,,2.19
CF5513/T,K2508082,11648,6.1,3.05,,,,,,,,,,3.05
CF5513/T,K2508082,18282,86.6,43.3,,,,,,,,,,43.3
CF5513/T,K2508082,18599,7.3,3.65,,,,,,,,,,3.65
CF5519/0,K2507109,18903,77.78,37.41218,,,,,,,,,,37.41218
CF5519/0,K2507109,19093,22.22,10.68782,,,,,,,,,,10.68782
CF5522/0,K2507112,18415,71.43,1.28574,,,,,,,,,,1.28574
CF5522/0,K2507112,18974,28.57,0.51426,,,,,,,,,,0.51426
CF5524/0,K2508024,8351,22.04,54.8796,,,,,,,,,,54.8796
CF5524/0,K2508024,11927,55.57,138.3693,,,,,,,,,,138.3693
CF5524/0,K2508024,12428,22.39,55.7511,,,,,,,,,,55.7511
CF5525/0,K2508016,18415,71.43,1.50003,,,,,,,,,,1.50003
CF5525/0,K2508016,19093,28.57,0.59997,,,,,,,,,,0.59997
CF5526/0,K2508018,12397,100.0,40.0,,,,,,,,,,40.0
CMR4344/3A,K2507099,18376,16.5,24.882,,,,,,,,,,24.882
CMR4344/3A,K2507099,18646,50.4,76.0032000000001,,,,,,,,,,76.0032000000001
CMR4344/3A,K2507099,18910,16.5,24.882,,,,,,,,,,24.882
CMR4344/3A,K2507099,18929,2.7,4.07160000000001,,,,,,,,,,4.07160000000001
CMR4344/3A,K2507099,18962,13.9,20.9612,,,,,,,,,,20.9612
CMR4344/3S,K2507001,12321,13.9,202.597395119594,247.619038479504,247.619038479504,247.619038479504,247.619038479504,247.619038479504,247.619038479504,247.619038479504,170.808935523877,,2106.7396
CMR4344/3S,K2507001,18376,16.5,240.493310753475,293.936268698692,293.936268698692,293.936268698692,293.936268698692,293.936268698692,293.936268698692,293.936268698692,202.758808355681,,2500.806
CMR4344/3S,K2507001,18646,50.4,734.597749210615,897.841693479641,897.841693479641,897.841693479641,897.841693479641,897.841693479641,897.841693479641,897.841693479641,619.335996431899,,7638.8256
CMR4344/3S,K2507001,18910,16.5,240.493310753475,293.936268698692,293.936268698692,293.936268698692,293.936268698692,293.936268698692,293.936268698692,293.936268698692,202.758808355681,,2500.806
CMR4344/3S,K2507001,18929,2.7,39.3534508505687,48.0986621506951,48.0986621506951,48.0986621506951,48.0986621506951,48.0986621506951,48.0986621506951,48.0986621506951,33.178714094566,,409.2228
CMR4649A/1,K2502101,12066,1.92,0.96,,,,,,,,,,0.96
CMR4649A/1,K2502101,12243,3.97,1.985,,,,,,,,,,1.985
CMR4649A/1,K2502101,18426,94.11,47.055,,,,,,,,,,47.055
CMR4659A/1,K2503050,12243,3.71,1.855,,,,,,,,,,1.855
CMR4659A/1,K2503050,14895,2.73,1.365,,,,,,,,,,1.365
CMR4659A/1,K2503050,18426,93.56,46.78,,,,,,,,,,46.78
CMR4773A/1,K2507024,18372,41.46,16.584,,,,,,,,,,16.584
CMR4773A/1,K2507024,18452,16.49,6.596,,,,,,,,,,6.596
CMR4773A/1,K2507024,18794,31.38,12.552,,,,,,,,,,12.552
CMR4773A/1,K2507024,18865,9.66,3.864,,,,,,,,,,3.864
CMR4773A/1,K2507024,18929,0.99,0.396,,,,,,,,,,0.396
CSP4479A/1B,K2506073,18376,23.4,125.29324353655,153.136186544672,153.136186544672,153.136186544672,153.136186544672,153.136186544672,19.777223740088,,,,910.7514
CSP4479A/1B,K2506073,18469,18.3,97.9857417401225,119.760351015705,119.760351015705,119.760351015705,119.760351015705,119.760351015705,15.4668031813507,,,,712.2543
CSP4479A/1B,K2506073,18646,38.5,206.144866502444,251.95483683632,251.95483683632,251.95483683632,251.95483683632,251.95483683632,32.5394493159565,,,,1498.4585
CSP4479A/1B,K2506073,18894,19.8,106.017359915542,129.576773230107,129.576773230107,129.576773230107,129.576773230107,129.576773230107,16.7345739339206,,,,770.6358
CT1577/1B,K2507059,13364,47.0,232.65,,,,,,,,,,232.65
CT1577/1B,K2507059,18454,12.5,61.875,,,,,,,,,,61.875
CT1577/1B,K2507059,18929,0.7,3.465,,,,,,,,,,3.465
CT1577/1B,K2507059,18987,34.3,169.785,,,,,,,,,,169.785
CT1577/1B,K2507059,19003,5.5,27.225,,,,,,,,,,27.225
CT2155/1AT,K2507021,19003,100.0,1440.52208801811,1760.6381075777,1760.6381075777,1760.6381075777,1760.6381075777,1760.6381075777,1760.6381075777,1760.6381075777,1760.6381075777,2420.47305136032,17946.1
CT2155/1AT,K2507022,19003,100.0,1440.52208801811,1760.6381075777,1760.6381075777,1760.6381075777,1760.6381075777,1760.6381075777,1760.6381075777,1760.6381075777,1760.6381075777,2319.07305136032,17844.7
CT2155/1AT,K2507023,19003,100.0,1440.52208801811,1760.6381075777,1760.6381075777,1760.6381075777,1760.6381075777,1760.6381075777,1760.6381075777,1760.6381075777,878.511158938018,,14643.5
CT22150/1BA,K2507015,12526,64.9,1624.55856298023,1665.02773701977,,,,,,,,,3289.5863
CT22150/1BA,K2507015,18646,35.1,878.613336835227,900.500363164774,,,,,,,,,1779.1137
CT2222/1AT,K2508076,11999,13.8,77.2662,,,,,,,,,,77.2662
CT2222/1AT,K2508076,18426,37.1,207.7229,,,,,,,,,,207.7229
CT2222/1AT,K2508076,18929,0.6,3.3594,,,,,,,,,,3.3594
CT2222/1AT,K2508076,18987,41.9,234.5981,,,,,,,,,,234.5981
CT2222/1AT,K2508076,19003,6.6,36.9534,,,,,,,,,,36.9534
CT2535/1L,K2508061,18318,29.2,292.0,,,,,,,,,,292.0
CT2535/1L,K2508061,18372,14.0,140.0,,,,,,,,,,140.0
CT2535/1L,K2508061,18646,15.4,154.0,,,,,,,,,,154.0
CT2535/1L,K2508061,18763,40.7,407.0,,,,,,,,,,407.0
CT2535/1L,K2508061,18929,0.7,7.0,,,,,,,,,,7.0
CT2552/1L,K2507060,12243,2.8,36.38124,,,,,,,,,,36.38124
CT2552/1L,K2507060,18426,97.2,1262.94876,,,,,,,,,,1262.94876
CT2876/2,K2508065,11999,13.8,138.0,,,,,,,,,,138.0
CT2876/2,K2508065,18086,29.6,296.0,,,,,,,,,,296.0
CT2876/2,K2508065,18753,14.3,143.0,,,,,,,,,,143.0
CT2876/2,K2508065,18763,41.6,416.0,,,,,,,,,,416.0
CT2876/2,K2508065,18929,0.7,7.0,,,,,,,,,,7.0
CT2913/2DL,K2507095,18426,36.5,730.0,,,,,,,,,,730.0
CT2913/2DL,K2507095,18904,16.5,330.0,,,,,,,,,,330.0
CT2913/2DL,K2507095,18929,0.7,14.0,,,,,,,,,,14.0
CT2913/2DL,K2507095,18987,38.8,776.0,,,,,,,,,,776.0
CT2913/2DL,K2507095,19003,7.5,150.0,,,,,,,,,,150.0
CT3085/1DU,K2508090,18233,19.1,,493.172000691777,270.827999308223,,,,,,,,764.0
CT3085/1DU,K2508090,18763,28.1,,725.55671305963,398.44328694037,,,,,,,,1124.0
CT3085/1DU,K2508090,19003,9.0,,232.384712367853,127.615287632147,,,,,,,,360.0
CT3085/1DU,K2508090,19030,43.8,,1130.93893352355,621.061066476448,,,,,,,,1752.0
CT4785/1,K2507098,19003,100.0,1096.6,,,,,,,,,,1096.6
CT4785/1,K2508004,19003,100.0,1671.94920829292,2043.49347680246,895.457314904611,,,,,,,,4610.9
CV4787A/1,K2508048,18993,100.0,25.0,,,,,,,,,,25.0
CV4788A/1,K2508043,18372,100.0,50.0,,,,,,,,,,50.0
CV4789A/1,K2508044,18372,100.0,50.0,,,,,,,,,,50.0
CV4790A/1,K2508046,18993,100.0,40.0,,,,,,,,,,40.0
CV4791A/1,K2508047,18993,100.0,40.0,,,,,,,,,,40.0
CV4792A/1,K2508045,18372,100.0,50.0,,,,,,,,,,50.0
CV4802A/1,K2508042,18208,66.3,33.15,,,,,,,,,,33.15
CV4802A/1,K2508042,18372,100.0,50.0,,,,,,,,,,50.0
DFF446J/B,K2502005,18884,100.0,4427.94615142484,3181.85384857516,,,,,,,,,7609.8
DFF446J/B,K2507092,18884,100.0,4427.94615142484,5411.93418507481,5411.93418507481,5411.93418507481,2586.25129335073,,,,,,23250.0
DFF505J/F,K2507039,19089,100.0,2648.67960388992,2451.32039611008,,,,,,,,,5100.0
DFF505R/F,K2507079,13545,1.3,3.9,,,,,,,,,,3.9
DFF505R/F,K2507079,19089,98.7,296.1,,,,,,,,,,296.1
FAB310-40/0,K2403009,18659,100.0,77.2000000000007,,,,,,,,,,77.2000000000007
JB38/2,K2505016,18703,100.0,2435.9,,,,,,,,,,2435.9
JC24/4,K2504039,19045,100.0,62.8999999999996,,,,,,,,,,62.8999999999996
JC24/5,K2506054,19076,100.0,31.4000000000001,,,,,,,,,,31.4000000000001
KBDU600K/1,K2507014,19069,50.0,728.0,,,,,,,,,,728.0
KBDU600K/1,K2507014,19070,50.0,728.0,,,,,,,,,,728.0
