Status,SO #,CSR,Price,Quoted Date,fStyle#,Style#,UOM,Ordered,Picked/Shipped,Balance,Available,SOP,PO #,Customer,Ship To,Ship Date
Open,S2508023,Brittany Lee,$11.50,8/29/2025,DIANA,C1B4374-1/42INCH,yds,500,0.0,500.0,0.0,SP2508011/1,P682-004,Solstice Sleep Products Inc,Solstice Sleep Products TX,
Open,S2508021,Brittany Lee,$11.50,8/29/2025,DIANA,C1B4374-1/42INCH,yds,500,0.0,500.0,0.0,SP2508009/1,P680-004,Solstice Sleep Products Inc,Solstice Sleep Products OH,
Open,S2508022,Brittany Lee,$11.50,8/29/2025,DIANA,C1B4374-1/42INCH,yds,500,0.0,500.0,0.0,SP2508010/1,P683-003,Solstice Sleep Products Inc,Solstice Sleep Products SC,
Open,S2507338,Brittany Lee,$10.06,8/8/2025,CT2552-1,CT2552-1/0,yds,"1,200",0.0,"1,200.0",0.0,SP2507160/1,18692,Reliefmart/Ultrabed,Specialty Mattress Inc,
Open,S2508247,Brittany Lee,$5.69 ,8/18/2025,70005413,C1B4571-1/0,yds,80,0.0,80.0,"17,449.6",SP2508113/3,L8308-192,Serta Simmons Bedding Company,SSBMF - Wisconsin,
Open,S2508252,Brittany Lee,$3.50 ,8/18/2025,700094133,C1B4612-1/1,yds,60,0.0,60.0,"1,891.2",SP2508114/2,L8309-079,Serta Simmons Bedding Company,SSBMF - MONROE,
Open,S2508248,Brittany Lee,$3.50 ,8/18/2025,700094133,C1B4612-1/1,yds,60,0.0,60.0,"1,891.2",SP2508113/4,L8308-192,Serta Simmons Bedding Company,SSBMF - Wisconsin,
Open,S2508251,Brittany Lee,$3.85 ,8/18/2025,700094134,C1B4613-1/0,yds,60,0.0,60.0,"2,373.8",SP2508114/3,L8309-079,Serta Simmons Bedding Company,SSBMF - MONROE,
Open,S2508250,Brittany Lee,$3.85 ,8/18/2025,700094134,C1B4613-1/0,yds,60,0.0,60.0,"2,373.8",SP2508113/5,L8308-192,Serta Simmons Bedding Company,SSBMF - Wisconsin,
Open,S2507422,Brittany Lee,$7.45 ,8/29/2025,C1B4686-1,C1B4686-1/0,yds,"1,000",0.0,"1,000.0",0.0,SP2507196/1,46789,Custom Comfort Mattress,Custom Comfort Mattress,
