Status,SO #,CSR,Unit Price,Quoted Date,fStyle#,Style#,On Hold,UOM,Ordered,Picked/Shipped,Balance,Available,SOP,PO #,Sold To,Ship To,Ship Date
Open,S2508023,Brittany Lee,$11.50 (yds),08-29-25,DIANA,C1B4374-1/42INCH,"<div id='holdButton_25411' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25411,0)'></i></div>",yds,500,0,500,0,SP2508011/1,P682-004,Solstice Sleep Products Inc,Solstice Sleep Products TX,
Open,S2508021,Brittany Lee,$11.50 (yds),08-29-25,DIANA,C1B4374-1/42INCH,"<div id='holdButton_25409' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25409,0)'></i></div>",yds,500,0,500,0,SP2508009/1,P680-004,Solstice Sleep Products Inc,Solstice Sleep Products OH,
Open,S2508022,Brittany Lee,$11.50 (yds),08-29-25,DIANA,C1B4374-1/42INCH,"<div id='holdButton_25410' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25410,0)'></i></div>",yds,500,0,500,0,SP2508010/1,P683-003,Solstice Sleep Products Inc,Solstice Sleep Products SC,
Open,S2507338,Brittany Lee,$10.06 (yds),08-08-25,CT2552-1,CT2552-1/0,"<div id='holdButton_25200' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25200,0)'></i></div>",yds,"1,200",0,"1,200",0,SP2507160/1,18692,Reliefmart/Ultrabed,Specialty Mattress Inc,
Open,S2508247,Brittany Lee,$5.69 (yds),08-18-25,70005413,C1B4571-1/0,"<div id='holdButton_25636' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25636,0)'></i></div>",yds,80,0,80,"17,449.60",SP2508113/3,L8308-192,Serta Simmons Bedding Company,SSBMF - Wisconsin,
Open,S2508252,Brittany Lee,$3.50 (yds),08-18-25,700094133,C1B4612-1/1,"<div id='holdButton_25641' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25641,0)'></i></div>",yds,60,0,60,"1,891.20",SP2508114/2,L8309-079,Serta Simmons Bedding Company,SSBMF - MONROE,
Open,S2508248,Brittany Lee,$3.50 (yds),08-18-25,700094133,C1B4612-1/1,"<div id='holdButton_25637' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25637,0)'></i></div>",yds,60,0,60,"1,891.20",SP2508113/4,L8308-192,Serta Simmons Bedding Company,SSBMF - Wisconsin,
Open,S2508251,Brittany Lee,$3.85 (yds),08-18-25,700094134,C1B4613-1/0,"<div id='holdButton_25640' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25640,0)'></i></div>",yds,60,0,60,"2,373.80",SP2508114/3,L8309-079,Serta Simmons Bedding Company,SSBMF - MONROE,
Open,S2508250,Brittany Lee,$3.85 (yds),08-18-25,700094134,C1B4613-1/0,"<div id='holdButton_25639' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25639,0)'></i></div>",yds,60,0,60,"2,373.80",SP2508113/5,L8308-192,Serta Simmons Bedding Company,SSBMF - Wisconsin,
Open,S2507422,Brittany Lee,$7.45 (yds),08-29-25,C1B4686-1,C1B4686-1/0,"<div id='holdButton_25284' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25284,0)'></i></div>",yds,"1,000",0,"1,000",0,SP2507196/1,46789,Custom Comfort Mattress,Custom Comfort Mattress,
