Yarn_ID,BOM_Count,Affected_Styles,Style_List,Total_Percentage,Avg_Percentage
18794.0,37,37,"C1B4655A/2, C1B4743A/2, C1B4747A/1, CMR3513/2D, C1B4655A/1",16.430000000000003,0.4440540540540541
18647.0,37,37,"C4T3380/TT1, C4T3382/TT1, C4T3432/TT1, C4T3432/TT2, C5T3218/TT1",14.280000000000001,0.385945945945946
18706.0,36,36,"C4T3510/TT1, C4T4131/TT1D, C4T4131/TT1N, C4T4131/TT1T, C5T3335/TT3",14.01,0.38916666666666666
18542.0,36,32,"CT22116/1N, CT22150/1WN, CT22150/1WU, CT22156/1NN, CT2238/1CU",4.76,0.1322222222222222
18295.0,36,35,"CT1961 3028/0, CT2198/0, CT22120/1P3, CT22120/2, CT2530/1O",6.760000000000001,0.1877777777777778
6300.0,36,35,"2377192/5VF, BK 6340/F2A, BK 6340/F2AB, BK 6340/F2BB, BK 6341/F2",25.620000000000008,0.7116666666666669
13259.0,36,23,"15547/01U, 16701/01A, FF 10008/0004A, FF 10009/0004, FF 25002/0002",10.73,0.2980555555555556
9519.0,36,36,"BK 4988/3315, BK 8332/0, BK 8332/1, BK 8339/0, BK 8345/0",4.4399999999999995,0.12333333333333332
18408.0,35,32,"CT22108/2D, CT22121/1D, CT2510/1, CT2510/2, CT2595/3",5.48,0.15657142857142858
18648.0,35,33,"C1B3939/2, C2B3494/1, CEE3264/2, CEE3273/3, CEE3273/4",5.22,0.14914285714285713
14682.0,35,33,"3000096820/0, 4000104859/0, 4000138882/0, 4000169787/20, 4000169788/0",18.460000000000004,0.5274285714285716
18393.0,35,34,"CT22150/1C, CT22150/WC, CT22150/WUU, CT2478/1, CT1397/6MMU",9.749999999999998,0.2785714285714285
18184.0,35,32,"C1B4513A/1, C1B4605A/1, CF1001B/0, CF1001M/0, CT2296/2",5.419999999999999,0.15485714285714283
18826.0,34,29,"C1B4057/1, C1B4057/1D, C1B4273A/1, C1B4326A/1, C1B4258A/1",8.05,0.23676470588235296
13042.0,34,34,"C03102F/0, C0319F/0, C0319F/2624, C0319F/2624S, C0319F/2646T",2.83,0.08323529411764706
7716.0,34,20,"C1B3944/1, C1B3945/1, C1B3958/1, C1B3959/1, C1B3964/1",9.760000000000002,0.2870588235294118
18355.0,34,30,"CT0826/9, CT2503/2, CT2507/2, CT2626/1, CT2627/1",5.239999999999999,0.1541176470588235
13385.0,34,20,"C0297F/0, C03102F/A72, C03102F/A72TE, C03102F/B, C03102F/B72",6.61,0.19441176470588237
11959.0,33,19,"BK 8368/0, BK 8369/0, BK 8370/0, CF5028/0, FF78/001A",6.49,0.19666666666666668
18383.0,32,30,"CT2597/1, CT2597/2, CT2606/3, CT2658/1, CT2658/1N",4.630000000000001,0.14468750000000002
18553.0,32,22,"CEE3193/1, CEE3502/1, CT2556/1T, CT3120/1, CT3122/1",5.96,0.18625
18273.0,32,26,"CT2319/01, CR2319/01, CT2577/1, CT2596/1, CT2596/2",10.41,0.3253125
18047.0,32,31,"CF1003/0, CF1016/0, CT1531/5L, CT1531/5LI, CT2454/1",10.92,0.34125
14738.0,31,31,"4000296279/MM, 4000306817/NH, 4000306818/NH, BK 8441/0, BK 8445/0",26.720000000000006,0.861935483870968
18830.0,30,30,"C1B4193A/1, C1B4154A/1, C1B4373A/1, C2B4017/1, C1B4156A/1",0.7300000000000002,0.02433333333333334
14281.0,30,24,"BK 8265/0, BK 8341/0, BK 8379/0, BK 8402/0, BK 8432/0",15.139999999999997,0.5046666666666666
18773.0,30,25,"C1B3935/1, C1B3965/2, C1B4338A/1, C1B4438-42/1, CEE3649A/1",8.420000000000002,0.28066666666666673
18293.0,30,30,"C1B3312/1, C1B3865/2, C1B4437A/1, CEE4435A/1, CT4402/1",3.93,0.131
18624.0,30,17,"CT3003/4, CT3005/3, CT3065/1, CT3101/1P, CT3101/2",6.979999999999999,0.23266666666666663
18465.0,29,26,"C1B3542/3, CEE3484/1, CEE3522/1, CF1001B/1, CT2576/1A",5.24,0.1806896551724138
18878.0,29,27,"CEE3065/2, CEE3065/2D, CEE3065/2L, CEE3065/2O, CEE3498A/1D",7.43,0.25620689655172413
18900.0,29,22,"CT3111/7, C1B3917/1N, C1B4653A/1, C2B4196/1P, C4T3577-42/EFP1D",3.98,0.13724137931034483
13650.0,29,29,"12999/01, 13124/01A, 13124/01B, 13124/01C, 13141/01A",3.5200000000000005,0.1213793103448276
18667.0,28,28,"C1B3450/1, C1B3553/2, C1B3614/1U, C1B3799/2, C1B3799/2A",5.329999999999999,0.19035714285714284
2363.0,28,25,"CT2083/1B, DC3837/0, DC3936/1, DC3939/1, DC3971/0",3.1799999999999997,0.11357142857142856
18827.0,27,11,"C1B4055/1, C1B4137A/1, C1B4167A/1E, C1B4185A/1, C1B4323A/1",6.22,0.23037037037037036
18725.0,27,27,"C1B4200A/1, C1B4308A/1, C1B4310A/1T, C1B4355A/1, C1B2946/3",3.2300000000000004,0.11962962962962964
18438.0,27,27,"C1B3897/1, C1B3897/2, C5T3317/GF, CEE4487A/1, CEE4497A/1",7.889999999999999,0.29222222222222216
13565.0,26,26," FF 10006/0001,  FF 10006/0001A, 12956/01A, 14891/01A, 14891/01H",3.28,0.12615384615384614
11536.0,26,26,"C1B3313/1, C1B3554/1, C1B3578/1, CMJ3163/10, CT3040/3",4.05,0.15576923076923077
18234.0,26,24,"BK 8278/0, BK 8326/0, CF1025/0, CF1037/0, CF1041/0",17.180000000000003,0.6607692307692309
18361.0,25,24,"C1B3481/1, C1B4101A/1, C2B4290A/1, CEE4501A/1, CEE4501A/2",8.02,0.3208
12321.0,25,22,"BK 8384/0, BK 8384/L, CF5150/0, CF5179/0, CF5212/0",16.299999999999997,0.6519999999999999
18530.0,25,22,"BK 8348/1, CF5123/0, CF5123D/0, CF5152/0, CF5293/0",2.83,0.11320000000000001
18576.0,25,18,"CF5021/0, CF5022/0, CF5200/0, CF5344/0, CF5357/0",10.909999999999998,0.43639999999999995
18554.0,25,25,"CT2798/1, CT2808/1, CT2811/1, CT2811/2, CT2812/1",9.6,0.384
14377.0,25,25,"3000113081/R26N, 3000113081/R26NV, 4000200854/0, BK 8401/0, BK 8405/B",10.96,0.4384
18937.0,25,20,"CEE4303A/1, CEE4422A/1, CEE4422A/2, CEE4504A/1, CEE4518A/1",6.82,0.2728
18109.0,25,18,"BK 8322/0, CT1577/GS1U, CT2424/1, CT2425/1, CT2546/2",6.380000000000001,0.25520000000000004
