Style,Yarn,Percentage,This Week,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Later,Total
CEE2839/1CL,18737,10.2,196.6,432.5,392.4,,,,,,,,"1,021.4"
CEE2839/1CL,18763,24.2,466.4,"1,026.1",931.0,,,,,,,,"2,423.4"
CEE2839/1CL,18904,12.3,237.0,521.5,473.2,,,,,,,,"1,231.7"
CEE2839/1CL,18929,0.6,11.6,25.4,23.1,,,,,,,,60.1
CEE2840/1ICG,12526,11.3,171.6,377.5,134.6,,,,,,,,683.7
CEE2840/1ICG,18233,6,91.1,200.4,71.5,,,,,,,,363.0
CEE2840/1ICG,18438,30.3,460.1,"1,012.2",360.8,,,,,,,,"1,833.2"
CEE2840/1ICG,18646,5.9,89.6,197.1,70.3,,,,,,,,357.0
CEE2840/1ICG,18737,11.3,171.6,377.5,134.6,,,,,,,,683.7
CEE2840/1ICG,18763,23.7,359.9,791.7,282.2,,,,,,,,"1,433.9"
CEE2840/1ICG,18904,10.9,165.5,364.1,129.8,,,,,,,,659.5
CEE2840/1ICG,18929,0.6,9.1,20.0,7.1,,,,,,,,36.3
CEE2841/1D,12526,12.1,184.3,208.9,,,,,,,,,393.3
CEE2841/1D,18233,6.3,96.0,108.8,,,,,,,,,204.8
CEE2841/1D,18375,28,426.6,483.4,,,,,,,,,910.0
CEE2841/1D,18646,6.3,96.0,108.8,,,,,,,,,204.8
CEE2841/1D,18737,10.2,155.4,176.1,,,,,,,,,331.5
CEE2841/1D,18763,24.2,368.7,417.8,,,,,,,,,786.5
CEE2841/1D,18904,12.3,187.4,212.4,,,,,,,,,399.8
CEE2841/1D,18929,0.6,9.1,10.4,,,,,,,,,19.5
CEE3050/1CU,12526,11.7,115.8,254.8,254.8,254.8,254.8,254.8,254.8,227.5,,,"1,872.0"
CEE3050/1CU,18233,6.2,61.4,135.0,135.0,135.0,135.0,135.0,135.0,120.6,,,992.0
CEE3050/1CU,18438,27.4,271.2,596.7,596.7,596.7,596.7,596.7,596.7,532.9,,,"4,384.0"
CEE3050/1CU,18646,6.2,61.4,135.0,135.0,135.0,135.0,135.0,135.0,120.6,,,992.0
CEE3050/1CU,18737,10.1,100.0,219.9,219.9,219.9,219.9,219.9,219.9,196.4,,,"1,616.0"
CEE3050/1CU,18763,25.8,255.4,561.8,561.8,561.8,561.8,561.8,561.8,501.8,,,"4,128.0"
CEE3050/1CU,18904,12,118.8,261.3,261.3,261.3,261.3,261.3,261.3,233.4,,,"1,920.0"
CEE3050/1CU,18929,0.6,5.9,13.1,13.1,13.1,13.1,13.1,13.1,11.7,,,96.0
CEE3267/3CEL,18307,10.1,65.8,,,,,,,,,,65.8
CEE3267/3CEL,18358,12,78.2,,,,,,,,,,78.2
CEE3267/3CEL,18430,25.2,164.2,,,,,,,,,,164.2
CEE3267/3CEL,18605,10.3,67.1,,,,,,,,,,67.1
CEE3267/3CEL,18763,42.4,276.2,,,,,,,,,,276.2
CEE3466/1L,18307,8.8,89.7,197.4,174.9,,,,,,,,462.0
CEE3466/1L,18594,30.5,311.0,684.2,606.1,,,,,,,,"1,601.3"
CEE3466/1L,18646,10.9,111.1,244.5,216.6,,,,,,,,572.3
CEE3466/1L,18763,39,397.7,874.9,775.0,,,,,,,,"2,047.5"
CEE3466/1L,18894,10.1,103.0,226.6,200.7,,,,,,,,530.3
CEE3466/1L,18929,0.7,7.1,15.7,13.9,,,,,,,,36.8
CEE4078/2A,12526,11.6,195.0,367.1,214.5,49.8,,,,,,,826.3
CEE4078/2A,18208,10.1,169.8,319.6,186.8,43.4,,,,,,,719.5
CEE4078/2A,18594,38.5,647.2,"1,218.3",711.9,165.3,,,,,,,"2,742.6"
CEE4078/2A,18646,10.7,179.9,338.6,197.9,45.9,,,,,,,762.2
CEE4078/2A,18763,23.1,388.3,731.0,427.1,99.2,,,,,,,"1,645.6"
CEE4078/2A,18929,0.7,11.8,22.2,12.9,3.0,,,,,,,49.9
CEE4078/2A,19003,5.3,89.1,167.7,98.0,22.7,,,,,,,377.6
CEE4293A/1V,12526,10.5,,,,,,,,,,,0.0
CEE4293A/1V,18133,24.2,,,,,,,,,,,0.0
CEE4293A/1V,18454,11.1,,,,,,,,,,,0.0
CEE4293A/1V,18594,31.6,,,,,,,,,,,0.0
CEE4293A/1V,18763,22,,,,,,,,,,,0.0
CEE4293A/1V,18929,0.6,,,,,,,,,,,0.0
CEE4317A/1L,18164,11.2,99.2,218.1,218.1,218.1,30.4,,,,,,784.0
CEE4317A/1L,18376,13.2,116.9,257.1,257.1,257.1,35.8,,,,,,924.0
CEE4317A/1L,18598,11.2,99.2,218.1,218.1,218.1,30.4,,,,,,784.0
CEE4317A/1L,18646,11.2,99.2,218.1,218.1,218.1,30.4,,,,,,784.0
CEE4317A/1L,18763,52.4,463.9,"1,020.6","1,020.6","1,020.6",142.2,,,,,,"3,668.0"
CEE4317A/1L,18929,0.8,7.1,15.6,15.6,15.6,2.2,,,,,,56.0
CEE4585A/1B,18594,30.2,370.4,814.8,702.3,,,,,,,,"1,887.5"
CEE4585A/1B,18646,17.6,215.9,474.9,409.3,,,,,,,,"1,100.0"
CEE4585A/1B,18763,40.3,494.3,"1,087.4",937.1,,,,,,,,"2,518.8"
CEE4585A/1B,18900,10.5,128.8,283.3,244.2,,,,,,,,656.3
CEE4585A/1B,18929,1.4,17.2,37.8,32.6,,,,,,,,87.5
CEE4638A/1,12047,12.2,83.0,182.6,182.6,182.6,162.3,,,,,,793.0
CEE4638A/1,12526,33.5,227.9,501.3,501.3,501.3,445.7,,,,,,"2,177.5"
CEE4638A/1,18553,31,210.9,463.9,463.9,463.9,412.4,,,,,,"2,015.0"
CEE4638A/1,18646,8.8,59.9,131.7,131.7,131.7,117.1,,,,,,572.0
CEE4638A/1,18679,6.8,46.3,101.8,101.8,101.8,90.5,,,,,,442.0
CEE4638A/1,18929,1.3,8.8,19.5,19.5,19.5,17.3,,,,,,84.5
CEE4638A/1,18966,6.4,43.5,95.8,95.8,95.8,85.2,,,,,,416.0
CEE4690A/1,19062,19.2,50.1,,,,,,,,,,50.1
CEE4739A/1,18594,16.51,8.3,,,,,,,,,,8.3
CEE4739A/1,18617,11.32,5.7,,,,,,,,,,5.7
CEE4739A/1,18622,11.32,5.7,,,,,,,,,,5.7
CEE4739A/1,18763,44.34,22.2,,,,,,,,,,22.2
CEE4739A/1,18865,7.04,3.5,,,,,,,,,,3.5
CEE4739A/1,19030,9.47,4.7,,,,,,,,,,4.7
CEE4750A/1,11999,11.26,5.6,,,,,,,,,,5.6
CEE4750A/1,18164,11.26,5.6,,,,,,,,,,5.6
CEE4750A/1,18376,9.42,4.7,,,,,,,,,,4.7
CEE4750A/1,18594,16.43,8.2,,,,,,,,,,8.2
CEE4750A/1,18669,7.51,3.8,,,,,,,,,,3.8
CEE4750A/1,18763,44.11,22.1,,,,,,,,,,22.1
CEE4751A/2,12526,34.64,17.3,,,,,,,,,,17.3
CEE4751A/2,18233,14.99,7.5,,,,,,,,,,7.5
CEE4751A/2,18372,14.99,7.5,,,,,,,,,,7.5
CEE4751A/2,18376,8.85,4.4,,,,,,,,,,4.4
CEE4751A/2,18594,14.99,7.5,,,,,,,,,,7.5
CEE4751A/2,18865,11.54,5.8,,,,,,,,,,5.8
CEE4763A/1,18306,11.32,5.7,,,,,,,,,,5.7
CEE4763A/1,18376,9.47,4.7,,,,,,,,,,4.7
CEE4763A/1,18594,16.51,8.3,,,,,,,,,,8.3
CEE4763A/1,18763,44.34,22.2,,,,,,,,,,22.2
CEE4763A/1,18865,7.04,3.5,,,,,,,,,,3.5
CEE4763A/1,18961,11.32,5.7,,,,,,,,,,5.7
CEE4780B/1,11759,10.2,,,,,,,,,,,0.0
CEE4780B/1,18594,24.8,,,,,,,,,,,0.0
CEE4780B/1,18725,11.6,,,,,,,,,,,0.0
CEE4780B/1,18763,47.7,,,,,,,,,,,0.0
CEE4780B/1,18865,5.7,,,,,,,,,,,0.0
CEE4794A/1,12526,21.13,10.6,,,,,,,,,,10.6
CEE4794A/1,18376,6.91,3.5,,,,,,,,,,3.5
CEE4794A/1,18569,7.8,3.9,,,,,,,,,,3.9
CEE4794A/1,18646,10.13,5.1,,,,,,,,,,5.1
CEE4794A/1,19033,54.03,27.0,,,,,,,,,,27.0
CEE4795A/1,11536,13.87,6.9,,,,,,,,,,6.9
CEE4795A/1,12526,32.01,16.0,,,,,,,,,,16.0
CEE4795A/1,18594,27.75,13.9,,,,,,,,,,13.9
CEE4795A/1,18615,13.87,6.9,,,,,,,,,,6.9
CEE4795A/1,18865,10.27,5.1,,,,,,,,,,5.1
CEE4795A/1,18929,2.22,1.1,,,,,,,,,,1.1
CEE4797A/1,12526,34.64,17.3,,,,,,,,,,17.3
CEE4797A/1,18372,14.99,7.5,,,,,,,,,,7.5
CEE4797A/1,18376,8.85,4.4,,,,,,,,,,4.4
CEE4797A/1,18452,14.99,7.5,,,,,,,,,,7.5
CEE4797A/1,18594,14.99,7.5,,,,,,,,,,7.5
CEE4797A/1,18865,11.54,5.8,,,,,,,,,,5.8
CF 5502 STEP JACQ/0,18993,100,,,,,,,,,,,0.0
CF5092/1,18845,100,694.7,"1,528.3","1,528.3","1,528.3","1,528.3","1,528.3","1,528.3","1,528.3","1,506.7",,"12,899.8"
CF5105/0,18575,100,"1,517.6",,,,,,,,,,"1,517.6"
CF5105/OE,18694,100,0.4,,,,,,,,,,0.4
CF5136/0,18638,100,39.6,,,,,,,,,,39.6
CF5138/0,18638,100,69.3,,,,,,,,,,69.3
CF5261/STR,18903,100,,,,,,"3,319.0","5,215.6","5,215.6","5,215.6","8,310.0","27,275.8"
