Style,KO,Yarn,Percentage,This Week,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Later,Total
C1B4312A/2RECA,K2507078,18594,27.9,436.4,960.0,830.1,,,,,,,,"2,226.5"
C1B4312A/2RECA,K2507078,18872,8.2,128.3,282.2,244.0,,,,,,,,654.4
C1B4312A/2RECA,K2507078,18927,31.7,495.8,"1,090.8",943.2,,,,,,,,"2,529.8"
C1B4312A/2RECA,K2507078,18929,0.6,9.4,20.6,17.9,,,,,,,,47.9
C1B4312A/2RECA,K2507078,18961,10.8,168.9,371.6,321.3,,,,,,,,861.9
C1B4312A/2RECA,K2507078,19003,4.9,76.6,168.6,145.8,,,,,,,,391.0
C1B4312A/2RECA,K2508013,12526,15.9,248.7,547.1,547.1,489.5,,,,,,,"1,832.4"
C1B4312A/2RECA,K2508013,18594,27.9,436.4,960.0,960.0,858.9,,,,,,,"3,215.3"
C1B4312A/2RECA,K2508013,18872,8.2,128.3,282.2,282.2,252.4,,,,,,,945.0
C1B4312A/2RECA,K2508013,18927,31.7,495.8,"1,090.8","1,090.8",975.8,,,,,,,"3,653.2"
C1B4312A/2RECA,K2508013,18929,0.6,9.4,20.6,20.6,18.5,,,,,,,69.1
C1B4312A/2RECA,K2508013,18961,10.8,168.9,371.6,371.6,332.5,,,,,,,"1,244.6"
C1B4312A/2RECA,K2508013,19003,4.9,76.6,168.6,168.6,150.8,,,,,,,564.7
C1B4313A/3REC,K2507077,18594,26,1.0,,,,,,,,,,1.0
C1B4313A/3REC,K2507077,18865,4.7,0.2,,,,,,,,,,0.2
C1B4313A/3REC,K2507077,18872,9,0.4,,,,,,,,,,0.4
C1B4313A/3REC,K2507077,18927,30.1,1.2,,,,,,,,,,1.2
C1B4313A/3REC,K2507077,18929,0.6,0.0,,,,,,,,,,0.0
C1B4313A/3REC,K2507077,18961,11.8,0.5,,,,,,,,,,0.5
C1B4313A/3REC,K2507077,19066,17.8,0.7,,,,,,,,,,0.7
