Yarn,Supplier,Description,Color,Monday Inventory,Total Demand,Total Receipt,Balance,Past Due Receipts,,Demand This Week,Receipts This Week,Balance This Week,,Demand Week 36,Receipts Week 36,Balance Week 36,,Demand Week 37,Receipts Week 37,Balance Week 37,,Demand Week 38,Receipts Week 38,Balance Week 38,,Demand Week 39,Receipts Week 39,Balance Week 39,,Demand Week 40,Receipts Week 40,Balance Week 40,,Demand Week 41,Receipts Week 41,Balance Week 41,,Demand Week 42,Receipts Week 42,Balance Week 42,,Demand Week 43,Receipts Week 43,Balance Week 43,,Demand Later,Receipts Later,Balance Later
14895,SUPREME CORPORATION,1/200/74 96/4 Polyester/Carbonized Nylon Grey Z ,Grey,4.0,1.4,0.0,2.6,0.0,,1.4,0.0,2.6,,0.0,0.0,2.6,,0.0,0.0,2.6,,0.0,0.0,2.6,,0.0,0.0,2.6,,0.0,0.0,2.6,,0.0,0.0,2.6,,0.0,0.0,2.6,,0.0,0.0,2.6,,0.0,0.0,2.6
12066,NOBLE BIOMATERIALS INC,1/70/34 100% Nylon Silver XSTATI ,Silver,10.0,1.0,0.0,9.0,0.0,,1.0,0.0,9.0,,0.0,0.0,9.0,,0.0,0.0,9.0,,0.0,0.0,9.0,,0.0,0.0,9.0,,0.0,0.0,9.0,,0.0,0.0,9.0,,0.0,0.0,9.0,,0.0,0.0,9.0,,0.0,0.0,9.0
14734,XLANCE,1/83 100% XLANCE Natural ELASTOLEFIN ,Natural,126.6,105.6,0.0,21.0,0.0,,105.6,0.0,21.0,,0.0,0.0,21.0,,0.0,0.0,21.0,,0.0,0.0,21.0,,0.0,0.0,21.0,,0.0,0.0,21.0,,0.0,0.0,21.0,,0.0,0.0,21.0,,0.0,0.0,21.0,,0.0,0.0,21.0
18517,DECA GLOBAL,1/100/96 100% Polyester Natural Z ,Natural,131.0,64.9,0.0,66.1,0.0,,64.9,0.0,66.1,,0.0,0.0,66.1,,0.0,0.0,66.1,,0.0,0.0,66.1,,0.0,0.0,66.1,,0.0,0.0,66.1,,0.0,0.0,66.1,,0.0,0.0,66.1,,0.0,0.0,66.1,,0.0,0.0,66.1
12321,UNIFI,1/100/96 100% Polyester Natural SETTS ,Natural,228.1,"2,106.7",0.0,"-1,878.6",0.0,,157.6,0.0,70.6,,247.6,0.0,-177.0,,247.6,0.0,-424.7,,247.6,0.0,-672.3,,247.6,0.0,-919.9,,247.6,0.0,"-1,167.5",,247.6,0.0,"-1,415.1",,247.6,0.0,"-1,662.8",,215.8,0.0,"-1,878.6",,0.0,0.0,"-1,878.6"
19020,R BELDA LLORENS,30/1 55/45 Recycled Polyester/Recycled Cotton Indigo V 169 RS,Indigo,"1,747.2","7,969.9",0.0,"-6,222.7",0.0,,"1,653.8",0.0,93.5,,"1,405.7",0.0,"-1,312.3",,"2,475.7",0.0,"-3,788.0",,"1,442.4",0.0,"-5,230.4",,992.3,0.0,"-6,222.7",,0.0,0.0,"-6,222.7",,0.0,0.0,"-6,222.7",,0.0,0.0,"-6,222.7",,0.0,0.0,"-6,222.7",,0.0,0.0,"-6,222.7"
19031,BUHLER QUALITY YARNS CORP,36/1 45/40/15 Modacrylic/Lenzing FR/Twaron Black MVS,Black,110.6,6.4,0.0,104.2,0.0,,6.4,0.0,104.2,,0.0,0.0,104.2,,0.0,0.0,104.2,,0.0,0.0,104.2,,0.0,0.0,104.2,,0.0,0.0,104.2,,0.0,0.0,104.2,,0.0,0.0,104.2,,0.0,0.0,104.2,,0.0,0.0,104.2
18565,MERIDIAN SPECIALTY YARN GROUP INC,2/450/288 100% Polyester Mink ,Mink,253.0,136.3,0.0,116.7,0.0,,136.3,0.0,116.7,,0.0,0.0,116.7,,0.0,0.0,116.7,,0.0,0.0,116.7,,0.0,0.0,116.7,,0.0,0.0,116.7,,0.0,0.0,116.7,,0.0,0.0,116.7,,0.0,0.0,116.7,,0.0,0.0,116.7
11648,SAPONA,1/40/34 100% Nylon Semi Dull STR ,Semi Dull,126.6,4.9,0.0,121.7,0.0,,4.9,0.0,121.7,,0.0,0.0,121.7,,0.0,0.0,121.7,,0.0,0.0,121.7,,0.0,0.0,121.7,,0.0,0.0,121.7,,0.0,0.0,121.7,,0.0,0.0,121.7,,0.0,0.0,121.7,,0.0,0.0,121.7
19093,CELANESE,1/40/1 100% Neolast Natural ,Natural,172.5,11.3,0.0,161.2,0.0,,11.3,0.0,161.2,,0.0,0.0,161.2,,0.0,0.0,161.2,,0.0,0.0,161.2,,0.0,0.0,161.2,,0.0,0.0,161.2,,0.0,0.0,161.2,,0.0,0.0,161.2,,0.0,0.0,161.2,,0.0,0.0,161.2
