PO Date,PO #,Purchased From,Desc,Price,INVEN,PO Order Amt,Rec'd,PO Bal,Unscheduled or Past Due,This Week,9/5/2025,9/12/2025,9/19/2025,9/26/2025,10/3/2025,10/10/2025,10/17/2025,10/24/2025,Later,Type,Ply,Size,Filament,Color,Blend
8/14/2025,Y2508014,"Meridian Specialty Yarn Group, Inc.",18307,$3.45 ,"1,283.75","1,155","1,092",63,"-1,092",,,"1,155",,,,,,,,Polyester,1,150,36,IRIS,100%
8/14/2025,Y2508015,Betareks A. S.,18966,$9.50 ,168.00,250,0,250,0,250,,,,,,,,,,Lurex,1,69,,Silver,100%
8/21/2025,Y2508021,CS America,18771,$1.87 ,"1,591.44","8,500",0,"8,500","8,500",,,,,,,,,,,Polyester,1,150,96,Semi Dull,100%
8/21/2025,Y2508023,Deca Global,18376,$1.42 ,680.94,"6,000",0,"6,000",0,"6,000",,,,,,,,,,Polyester,30,1,,Natural,100%
8/21/2025,Y2508024,Deca Global,18372,$1.40 ,617.54,"5,000",0,"5,000",0,"5,000",,,,,,,,,,Polyester,1,150,36,Black,100%
8/26/2025,Y2508027,Unifi,12526,$1.15 ,"13,636.81","20,000",0,"20,000",0,,,"20,000",,,,,,,,Polyester,1,300,68,Natural,100%
8/28/2025,Y2508028,Hyosung Holdings USA Inc,18469,$2.32 ,"4,360.72",600,0,600,0,,600,,,,,,,,,Polyester,1,50,1,Semi Dull,100%
8/28/2025,Y2508029,Deca Global,18763,$1.18 ,"22,832.44","30,000",0,"30,000",0,,"15,000","10,000","5,000",,,,,,,Polyester,2,300,68,Semi Dull,100%
8/28/2025,Y2508030,"Fils Promptex Yarns, Inc",18233,$1.33 ,"6,100.88","3,000",0,"3,000","3,000",,,,,,,,,,,Polyester,1,150,48,BRT,100%
8/28/2025,Y2508031,Deca Global,18894,$2.15 ,"5,184.78","3,000",0,"3,000",0,,"3,000",,,,,,,,,Polyester,1,150,48,Torso Blue,100%
